zip_code,year,gross_rent_per_unit
07001,2011,1236.6297317162807
07001,2012,1237.4483972577357
07001,2013,1258.095988276241
07001,2014,1212.515748031496
07001,2015,1232.0979073243648
07001,2016,1265.6872686898594
07001,2017,1327.4774381368268
07001,2018,1361.7424381301557
07001,2019,1473.5963434307223
07001,2020,1464.079322638146
07001,2021,1551.8335337570863
07002,2011,1041.0018387181508
07002,2012,1098.271202559004
07002,2013,1136.6583886173185
07002,2014,1164.5703252570722
07002,2015,1169.5416905507298
07002,2016,1210.588121510529
07002,2017,1235.9029674369747
07002,2018,1251.558581296493
07002,2019,1286.3567481543698
07002,2020,NA
07002,2021,NA
07003,2011,1251.9301500057254
07003,2012,1269.2491186170819
07003,2013,1290.6050686378037
07003,2014,1340.5697218367225
07003,2015,1414.3944084473242
07003,2016,1452.645130471129
07003,2017,NA
07003,2018,1476.8831364373407
07003,2019,1535.434293429343
07003,2020,1563.5382185366955
07003,2021,1646.2794520547945
07004,2011,1489
07004,2012,1581
07004,2013,1552
07004,2014,1710
07004,2015,1704
07004,2016,1854
07004,2017,1907
07004,2018,2096
07004,2019,1916
07004,2020,2289
07004,2021,2234
07005,2011,1283.8447672569187
07005,2012,1335.4656034024456
07005,2013,1330.3460226060993
07005,2014,1345.6358097274185
07005,2015,1334.7243764409977
07005,2016,NA
07005,2017,1322.1683902642849
07005,2018,1446.232776838546
07005,2019,1479.4936037441498
07005,2020,1490.2191291161178
07005,2021,1562.7008412197686
07006,2011,1367.0707339543453
07006,2012,1399.2820855614973
07006,2013,NA
07006,2014,NA
07006,2015,NA
07006,2016,NA
07006,2017,NA
07006,2018,NA
07006,2019,NA
07006,2020,NA
07006,2021,NA
07008,2011,1061.885908575746
07008,2012,1222.1739130434783
07008,2013,1315.233307751343
07008,2014,1152.5425531914893
07008,2015,1061.7039552536955
07008,2016,1109.6492271105826
07008,2017,1195.5737963693764
07008,2018,1197.6448818897638
07008,2019,1319.4239130434783
07008,2020,NA
07008,2021,NA
07009,2011,1431.95170023825
07009,2012,1486.6753188632804
07009,2013,1484.934065934066
07009,2014,1452.509090909091
07009,2015,1447.0336669699727
07009,2016,1374.323444764224
07009,2017,1399.0758201173148
07009,2018,1465.0037134119702
07009,2019,1518.7475226195606
07009,2020,1464.443820224719
07009,2021,1338.309934318555
07010,2011,1409.1697207678883
07010,2012,1224.3297634984383
07010,2013,1417.5521363736993
07010,2014,1424.6090193575835
07010,2015,1448.3068702290077
07010,2016,1469.4006082989354
07010,2017,1551.0906176533447
07010,2018,1692.1309192200556
07010,2019,1636.6424507658644
07010,2020,1716.4148025166025
07010,2021,1717.4205215217003
07011,2011,1150.5676518883415
07011,2012,1209.3083138078694
07011,2013,1236.0280894341754
07011,2014,1261.6150060508269
07011,2015,1295.001024347963
07011,2016,1306.9048611111111
07011,2017,1331.8284541511773
07011,2018,1344.2263100094133
07011,2019,1372.1713565066605
07011,2020,1357.3605822187253
07011,2021,1460.011134676564
07012,2011,939
07012,2012,968
07012,2013,1001
07012,2014,1067
07012,2015,1091
07012,2016,1193
07012,2017,1316
07012,2018,1321
07012,2019,1275
07012,2020,1385.5537848605577
07012,2021,1453.6788023137121
07013,2011,1206.7431204569054
07013,2012,1228.4235598705502
07013,2013,1297.017248137985
07013,2014,1377.0242693110647
07013,2015,1343.5295027054883
07013,2016,1404.0232708468002
07013,2017,1435.9185127607202
07013,2018,1419.6346429969979
07013,2019,1453.3000660938533
07013,2020,1598.9598349612663
07013,2021,1712.2329684177364
07014,2011,NA
07014,2012,NA
07014,2013,NA
07014,2014,1314.493026762156
07014,2015,1330.1325659116228
07014,2016,1462.0445103857567
07014,2017,1409.2796420581656
07014,2018,1423.2002978406551
07014,2019,1626.1729041916167
07014,2020,2010.8237867939538
07014,2021,1796.4597227426002
07016,2011,1292.2148382559774
07016,2012,1345.349104859335
07016,2013,NA
07016,2014,1464.8150355260143
07016,2015,NA
07016,2016,NA
07016,2017,NA
07016,2018,NA
07016,2019,NA
07016,2020,NA
07016,2021,1675.98478143551
07017,2011,980.3988144245019
07017,2012,990.2540445999125
07017,2013,1000.4088589729671
07017,2014,1028.3025441581592
07017,2015,1001.447618533319
07017,2016,1010.6936320494426
07017,2017,1031.917702748945
07017,2018,1065.4336707823745
07017,2019,1091.439193185851
07017,2020,1144.2590981918058
07017,2021,1194.8695246459545
07018,2011,972.9996624130714
07018,2012,1005.2761199056921
07018,2013,1017.815456674473
07018,2014,1042.2182201992216
07018,2015,1056.0874039425325
07018,2016,1059.149017992034
07018,2017,1098.7548396114335
07018,2018,1134.9628087508822
07018,2019,1168.4719237064978
07018,2020,1189.1340366777597
07018,2021,1319.7296273753973
07020,2011,1702
07020,2012,1796
07020,2013,1834
07020,2014,1796
07020,2015,1737
07020,2016,1769
07020,2017,1848
07020,2018,1854
07020,2019,2003
07020,2020,2417.3063744405
07020,2021,2482.6676525947837
07021,2011,2001
07021,2012,1972
07021,2013,2001
07021,2014,2000
07021,2015,2850
07021,2016,2071
07021,2017,3018
07021,2018,2286
07021,2019,2250
07021,2020,3250
07021,2021,3501
07022,2011,1330
07022,2012,1332
07022,2013,1286
07022,2014,1249
07022,2015,1255
07022,2016,1275
07022,2017,1301
07022,2018,1410
07022,2019,1524
07022,2020,1393.7380100214746
07022,2021,1334.902653477783
07023,2020,1931.1828442437923
07023,2021,1919.9911894273127
07024,2011,1666.8742720869614
07024,2012,1673.6107146777913
07024,2013,1637.7716805487505
07024,2014,1540.7865776951267
07024,2015,1676.1611887532454
07024,2016,1686.3560913984402
07024,2017,1700.940194409358
07024,2018,1849.2326623131307
07024,2019,2031.1773956032398
07024,2020,NA
07024,2021,2074.8328314021746
07026,2011,1159.1049863244266
07026,2012,1168.0977695972283
07026,2013,1168.29766324525
07026,2014,1182.0168104897457
07026,2015,1183.9916593503074
07026,2016,1205.621445626221
07026,2017,1263.380230956669
07026,2018,1283.78234173195
07026,2019,1326.9984399375976
07026,2020,1359.2333819714656
07026,2021,1401.3402733118971
07027,2011,1426
07027,2012,1401
07027,2013,1454
07027,2014,1435
07027,2015,1400
07027,2016,1367
07027,2017,1433
07027,2018,1499
07027,2019,1551
07027,2020,1552
07027,2021,1638
07028,2011,1398
07028,2012,1601
07028,2013,1589
07028,2014,1493
07028,2015,1473
07028,2016,1560
07028,2017,1505
07028,2018,1627
07028,2019,1723
07028,2020,1757
07028,2021,1798
07029,2011,1153.7080107707843
07029,2012,1164.1648953835936
07029,2013,1211.9576011607287
07029,2014,1214.3978477607216
07029,2015,1250.6968454258674
07029,2016,1314.6918869644485
07029,2017,1383.6992425367594
07029,2018,1469.2467105263158
07029,2019,1546.6731021801943
07029,2020,1635.0800968076524
07029,2021,1765.6562800128054
07030,2011,1555.7914418303476
07030,2012,1546.7163056237328
07030,2013,1541.2072911122937
07030,2014,1565.3637134378973
07030,2015,1735.614215608675
07030,2016,1829.4627074688797
07030,2017,1847.878577033743
07030,2018,1938.3055541096246
07030,2019,2008.3268368942158
07030,2020,2230.38968503937
07030,2021,2373.338762680383
07031,2011,1180.992011061607
07031,2012,1195.2548835755588
07031,2013,1309.143520668834
07031,2014,1275.2546456692914
07031,2015,1270.146124523507
07031,2016,1262.219469309463
07031,2017,1274.1582502412352
07031,2018,1324.945299145299
07031,2019,1331.2714564857959
07031,2020,1406.4056389267848
07031,2021,1496.9329032258065
07032,2011,1135.5177783381666
07032,2012,1149.8383711430906
07032,2013,1162.930375
07032,2014,1183.1905647511003
07032,2015,1185.1271315934234
07032,2016,1192.1591176652828
07032,2017,1217.8856235601768
07032,2018,1246.6841551692137
07032,2019,1306.9562171628722
07032,2020,1363.6481388958282
07032,2021,1443.657602862254
07033,2011,1346
07033,2012,1387
07033,2013,1516
07033,2014,1466
07033,2015,1473
07033,2016,1422
07033,2017,1421
07033,2018,1415
07033,2019,1521
07033,2020,1644
07033,2021,1758
07034,2011,1341.815135135135
07034,2012,1334.4578334825426
07034,2013,1332.3840331591277
07034,2014,1342.9099551569507
07034,2015,1261.8755127519173
07034,2016,1245.878242074928
07034,2017,1280.489264919942
07034,2018,1333.0155934690883
07034,2019,1381.9270679468243
07034,2020,1335.1779264214047
07034,2021,1379.6204838202952
07035,2011,1403.0728415173376
07035,2012,1510.2105628908964
07035,2013,1559.968051118211
07035,2014,1610.541576803259
07035,2015,1660.9294585196224
07035,2016,1577.1750372948782
07035,2017,1621.7483870967742
07035,2018,1703.7092369477912
07035,2019,1734.3237410071943
07035,2020,1704.4115771400539
07035,2021,1869.7656982193064
07036,2011,1163.7507483658135
07036,2012,1183.0456919843891
07036,2013,NA
07036,2014,NA
07036,2015,NA
07036,2016,NA
07036,2017,NA
07036,2018,1256.282154389813
07036,2019,1313.1154563504
07036,2020,1362.0913610184905
07036,2021,1400.2005819028223
07039,2011,1953.1640735502122
07039,2012,1939.6094003241492
07039,2013,1981.0135542168675
07039,2014,1741.2496975806453
07039,2015,2422.0054294175716
07039,2016,2657.330785063217
07039,2017,2710.8360828697487
07039,2018,2742.3170591614016
07039,2019,2891.8995382150597
07039,2020,NA
07039,2021,NA
07040,2011,NA
07040,2012,NA
07040,2013,1519.128343500704
07040,2014,1519.3159770114942
07040,2015,1634.3115204210044
07040,2016,1802.038603146268
07040,2017,1818.343325474346
07040,2018,1881.6532680880812
07040,2019,2057.398201438849
07040,2020,NA
07040,2021,NA
07041,2011,1674.535061873895
07041,2012,1677.4006378313734
07041,2013,1674.970778584036
07041,2014,1705.0102949910909
07041,2015,2189.9238699444886
07041,2016,1804.452057491632
07041,2017,2235.7924528301887
07041,2018,2350.9014249463207
07041,2019,2252.5669982445875
07041,2020,2316.9745664739885
07041,2021,2376.4855152181885
07042,2011,1283.4069350671002
07042,2012,1310.6524612386681
07042,2013,1386.4048229861467
07042,2014,1384.8094223888227
07042,2015,1409.826987537602
07042,2016,1416.176043557169
07042,2017,NA
07042,2018,1592.2701992369648
07042,2019,1685.2215413028878
07042,2020,1782.4725832831195
07042,2021,1911.5971149766654
07043,2011,1803.4509536784742
07043,2012,1835.75769126055
07043,2013,1811.3701492537314
07043,2014,1808.4643334223886
07043,2015,1902.3235452586207
07043,2016,1775.219472395975
07043,2017,1889.6242677824268
07043,2018,2015.2447455752213
07043,2019,2108.0530679933663
07043,2020,2084.5004099480734
07043,2021,NA
07044,2011,1336.053035844916
07044,2012,1379.400036616624
07044,2013,1324.7631912964641
07044,2014,1299.499545537175
07044,2015,1358.6571376547706
07044,2016,1431.1012093023255
07044,2017,1546.0318106158684
07044,2018,1634.994756554307
07044,2019,1769.4366017827906
07044,2020,1693.1183688199205
07044,2021,1814.9386871042987
07045,2011,1934.2067741054357
07045,2012,1908.1404958677685
07045,2013,2000.41329321663
07045,2014,1863.7929223113076
07045,2015,NA
07045,2016,2038.220596205962
07045,2017,2099.0752688172042
07045,2018,2266.1602649006622
07045,2019,2779.1833966359195
07045,2020,2835.6055354371442
07045,2021,1997.3450276971776
07046,2011,1513.84375
07046,2012,1527.4793201133145
07046,2013,1587.6608391608393
07046,2014,1611.9558823529412
07046,2015,1521.3574660633485
07046,2016,1551.4492712203487
07046,2017,1414.1881856540085
07046,2018,1386.2618713121662
07046,2019,1368.4578888265019
07046,2020,1436.0524064171123
07046,2021,NA
07047,2011,1142.71407902059
07047,2012,1167.858309264608
07047,2013,1210.540462897718
07047,2014,1201.5762565924013
07047,2015,1243.4243316966722
07047,2016,1256.5587002096436
07047,2017,1270.6020324982337
07047,2018,1345.920794239581
07047,2019,1391.3492759982448
07047,2020,1449.4254942223297
07047,2021,1516.0238837757663
07050,2011,1013.0497562485491
07050,2012,1021.593425736575
07050,2013,1024.1740779298036
07050,2014,1039.307862353548
07050,2015,1036.7918351774133
07050,2016,1036.047784468118
07050,2017,1051.5327843854834
07050,2018,1087.6093994778068
07050,2019,1147.3239040400094
07050,2020,1189.0302770859278
07050,2021,1270.8851130279595
07052,2011,NA
07052,2012,NA
07052,2013,NA
07052,2014,NA
07052,2015,1482.9130510541906
07052,2016,1652.6792874326957
07052,2017,NA
07052,2018,1713.5118128253532
07052,2019,NA
07052,2020,NA
07052,2021,NA
07054,2011,NA
07054,2012,1052.9715165511932
07054,2013,1109.6885086525374
07054,2014,NA
07054,2015,1747.759643341733
07054,2016,1806.8700418576839
07054,2017,2096.7421672320893
07054,2018,2179.11886149529
07054,2019,2091.0040192926044
07054,2020,NA
07054,2021,NA
07055,2011,994.5942899072777
07055,2012,997.8723505112752
07055,2013,1013.7157909140668
07055,2014,1032.7928251729284
07055,2015,1065.2021066938498
07055,2016,1090.0682903203488
07055,2017,1122.9668874172185
07055,2018,1163.9566907652436
07055,2019,1178.414055944056
07055,2020,1203.5571776155718
07055,2021,1248.741295724989
07057,2011,1055.1607040367323
07057,2012,1078.723510251006
07057,2013,1044.5043789808917
07057,2014,1095.6088004822182
07057,2015,1125.5455453455852
07057,2016,1141.0266693402848
07057,2017,1203.8213712910986
07057,2018,1296.2299277202578
07057,2019,1300.8074887277005
07057,2020,1361.240949785909
07057,2021,1406.3778332693046
07058,2011,1583
07058,2012,1569
07058,2013,1632
07058,2014,1589
07058,2015,1526
07058,2016,1568
07058,2017,1605
07058,2018,1658
07058,2019,1850
07058,2020,2039
07058,2021,2123
07059,2011,1292.2606110313718
07059,2012,1464.9399271844661
07059,2013,1772.4231687898089
07059,2014,1741.0439411536972
07059,2015,1810.2421890161072
07059,2016,1686.0535340064773
07059,2017,1888.9117591365273
07059,2018,1929.170831779187
07059,2019,NA
07059,2020,1627.7454350161117
07059,2021,1782.1255319148936
07060,2011,1175.148375895247
07060,2012,1185.8143721410654
07060,2013,1214.3413700727133
07060,2014,1204.8256522418371
07060,2015,1148.0209573892198
07060,2016,1134.9008038710685
07060,2017,1164.6810977052282
07060,2018,1220.9664455120871
07060,2019,1293.116460686936
07060,2020,1305.9883682286475
07060,2021,1390.0776108046414
07062,2011,1361.608547008547
07062,2012,1365.8975843481733
07062,2013,1430.1999167013744
07062,2014,NA
07062,2015,NA
07062,2016,1475.731875
07062,2017,1292.5518027351843
07062,2018,NA
07062,2019,1306.0797829581993
07062,2020,1322.3879967884384
07062,2021,NA
07063,2011,2001
07063,2012,2001
07063,2013,1178
07063,2014,1117
07063,2015,1053
07063,2016,1079
07063,2017,1004
07063,2018,1260
07063,2019,1590
07063,2020,1583.9466125507338
07063,2021,1624.2498540572096
07064,2011,1695
07064,2012,1704
07064,2013,1600
07064,2014,1702
07064,2015,1714
07064,2016,1750
07064,2017,1714
07064,2018,1804
07064,2019,1867
07064,2020,1877.563543003851
07064,2021,2108.814061838204
07065,2011,NA
07065,2012,1241.259206798867
07065,2013,1308.4861656551232
07065,2014,1318.165936237862
07065,2015,1362.1058990168306
07065,2016,1414.1367565698479
07065,2017,1496.0740960787641
07065,2018,1409.6022277227723
07065,2019,1369.3250924024642
07065,2020,1395.4023185566168
07065,2021,1502.7787658943755
07066,2011,1180.0805463141305
07066,2012,1288.6175710594316
07066,2013,1304.1111901796833
07066,2014,1317.720885297734
07066,2015,1295.7856893542757
07066,2016,1261.308429118774
07066,2017,1286.5831906881206
07066,2018,1334.7989167230874
07066,2019,1384.8937849391648
07066,2020,1500.5754853200706
07066,2021,1552.0634426229508
07067,2011,NA
07067,2012,1501.5178273908698
07067,2013,NA
07067,2014,NA
07067,2015,NA
07067,2016,NA
07067,2017,NA
07067,2018,NA
07067,2019,NA
07067,2020,NA
07067,2021,NA
07068,2011,1831
07068,2012,1782
07068,2013,1867
07068,2014,1875
07068,2015,1933
07068,2016,2066
07068,2017,2243
07068,2018,2319
07068,2019,2579
07068,2020,2594
07068,2021,2598
07069,2011,1804
07069,2012,1610
07069,2013,2001
07069,2014,2001
07069,2015,2027
07069,2016,1479
07069,2017,1449
07069,2018,1534
07069,2019,2021
07069,2020,2085
07069,2021,2269
07070,2011,1326.7103832563196
07070,2012,1368.7770102238187
07070,2013,1428.0931756660493
07070,2014,1392.1050132663036
07070,2015,1347.3206604689885
07070,2016,1348.392384331923
07070,2017,1374.6706376066063
07070,2018,1403.2774009766686
07070,2019,1478.0585305105853
07070,2020,1489.4458979098536
07070,2021,1589.3633746040887
07071,2011,1243.128526645768
07071,2012,1279.5334387708992
07071,2013,1284.5515810719892
07071,2014,1278.9314624329159
07071,2015,1199.4297548415987
07071,2016,1244.1348775351878
07071,2017,1252.6283156498673
07071,2018,1384.9151745747538
07071,2019,1434.8457959095335
07071,2020,1555.786624539231
07071,2021,1563.4781276415893
07072,2011,1230
07072,2012,1315
07072,2013,1334
07072,2014,1302
07072,2015,1238
07072,2016,1225
07072,2017,1249
07072,2018,1260
07072,2019,1290
07072,2020,1472
07072,2021,1609
07073,2011,1337.8885135135135
07073,2012,1363.9676646706587
07073,2013,1385.112269641125
07073,2014,1323.127923627685
07073,2015,1383.3575710190253
07073,2016,1386.5992943548388
07073,2017,1420.6075085324233
07073,2018,1461.2584160813756
07073,2019,1589.9235668789809
07073,2020,1498.6938425230637
07073,2021,1576.0345641906397
07074,2011,1032
07074,2012,961
07074,2013,911
07074,2014,953
07074,2015,993
07074,2016,990
07074,2017,1293
07074,2018,1330
07074,2019,1199
07074,2020,1021
07074,2021,1096
07075,2020,1675.1262951554186
07075,2021,1934.5260869565218
07076,2011,1430.7014892923144
07076,2012,1464.0215005599105
07076,2013,1329.3659531090723
07076,2014,1428.8021652421653
07076,2015,NA
07076,2016,NA
07076,2017,NA
07076,2018,NA
07076,2019,NA
07076,2020,NA
07076,2021,NA
07077,2011,1465
07077,2012,1313
07077,2013,1176
07077,2014,1160
07077,2015,1103
07077,2016,1110
07077,2017,1201
07077,2018,1221
07077,2019,1321
07077,2020,1395
07077,2021,1393
07078,2011,2001
07078,2012,2001
07078,2013,NA
07078,2014,NA
07078,2015,NA
07078,2016,3501
07078,2017,3375
07078,2018,3501
07078,2019,3501
07078,2020,3501
07078,2021,3501
07079,2011,1652.4881305637982
07079,2012,1649.0018733608092
07079,2013,NA
07079,2014,NA
