zip_code,nyc_flag,year,avg_zhvi,housing_units,agi,total_pop,avg_zhvi_pct,agi_pct,percentile_diff,inner_third_flag,gap_25_pct,bottom_income_quartile,gap_years,first_gap,gentrification_signal,avg_rent,gross_rent_per_unit,evictions,eviction_filings,violations_a,violations_b,violations_c,total_violations,dob_calls_311,permits_alteration,permits_demolition,nypd_calls_311,arrests
10001,1,2011,646339.763291667,4971,274055.466240648,8032,0.93292682283594,0.75435537156629,0.17857145126965,1,0,0,0,0,0,NA,1945.3045664856163,NA,NA,46,114,17,177,475,8,2,1565,7483
10001,1,2012,711476.722941667,5222,284439.209273183,8441,0.958108778675554,0.770138555266801,0.187970223408753,1,0,0,0,0,0,3711.1283138523618,1999.7177326694753,NA,NA,41,106,17,164,554,8,3,1219,6838
10001,1,2013,817931.06075,5260,293539.566055331,8788,0.968268094291526,0.784604210743144,0.183663883548382,1,0,0,0,0,0,3728.3730427875585,1984.8479087452472,NA,NA,41,160,95,296,654,14,2,1387,7426
10001,1,2014,999545.348016667,5306,327870.976583609,8817,0.977162375912666,0.82602283961062,0.151139536302046,1,0,0,0,0,0,3898.4579893317223,2001,NA,NA,48,235,65,348,674,8,4,1432,6920
10001,1,2015,1136495.54483333,5355,349162.175022249,8497,0.981505506810734,0.827138172367872,0.154367334442862,1,0,0,0,0,0,4069.495220867988,2645.129598506069,NA,NA,141,247,88,476,875,18,2,2235,6241
10001,1,2016,1241577.416,5367,339775.253625424,8445,0.982701390182809,0.812046310603963,0.170655079578846,1,0,0,0,0,0,4089.21037755563,2666.2256381591205,NA,NA,186,282,123,591,987,10,2,3879,4749
10001,1,2017,1437246.62491667,5311,371687.472315693,8604,0.989590860461065,0.82350546620524,0.166085394255825,1,0,0,0,0,0,4004.159570690984,2627.8267746187157,0,108,208,222,100,530,1004,6,8,2793,4040
10001,1,2018,1995823.98875,5560,400732.679518072,8604,0.993525541315416,0.83177004510178,0.161755496213636,1,0,0,0,0,0,4047.102238175952,2930.693705035971,0,144,248,379,101,728,1041,11,2,2764,3788
10001,1,2019,1749769.88208333,5783,383915.37306701,8844,0.993134853575297,0.811371966227404,0.181762887347893,1,0,0,0,0,0,4183.594473859216,3002.667819470863,0,84,126,234,132,492,850,4,4,3498,3035
10001,1,2020,1399920.33566667,6602,336814.875757576,10162,0.982754249457183,0.711672096100299,0.271082153356885,1,1,0,1,1,0,3865.6895282087185,2823.598455013632,0,10,187,241,147,575,640,6,NA,5189,1529
10001,1,2021,1376802.96233333,6899,NA,10652,0.962687830116679,NA,NA,1,NA,NA,NA,NA,NA,4075.539630279768,2991.8047543122193,0,7,466,384,277,1127,433,3,NA,5332,2151
10002,1,2011,321405.599633333,35084,571614.108588747,80868,0.454022680175289,0.942878766672306,-0.488856086497017,1,0,0,0,0,0,NA,812.7287367460951,NA,NA,214,618,156,988,738,12,NA,2696,5203
10002,1,2012,348348.4968,34944,675656.429982568,79842,0.546716482959135,0.943212131231542,-0.396495648272406,1,0,0,0,0,0,NA,833.6029075091575,NA,NA,210,675,302,1187,786,14,3,3222,5454
10002,1,2013,371858.517566667,35000,648870.81239143,81502,0.571915132166458,0.94083936608678,-0.368924233920323,1,0,0,0,0,0,2751.5130501682656,915.9816285714286,NA,NA,304,952,471,1727,779,14,1,3932,5415
10002,1,2014,422141.811158333,35019,823336.608547009,79244,0.617728662563235,0.941176633700845,-0.323447971137609,1,0,0,0,0,0,2863.9156584267425,966.5160627088152,NA,NA,237,797,455,1489,783,14,NA,4580,4845
10002,1,2015,518116.126666667,35459,867318.510297483,80190,0.715594873222079,0.940950862660667,-0.225355989438588,1,0,0,0,0,0,3033.8503492578775,961.6836628218506,NA,NA,699,1623,794,3116,1071,20,21,6101,4625
10002,1,2016,586221.742958333,35317,855588.896889401,77295,0.737488399294285,0.944669900301935,-0.20718150100765,1,0,0,0,0,0,3091.677304187504,NA,NA,NA,706,1375,610,2691,1049,14,5,7136,3829
10002,1,2017,677229.228975,35477,966588.763968073,77019,0.77367786047615,0.942468369802566,-0.168790509326416,1,0,0,0,0,0,3137.801078343372,999.05755841813,0,114,1111,1690,812,3613,939,12,1,7850,3575
10002,1,2018,968405.201241667,35473,1096628.14252874,74310,0.889801336645323,0.942369485427189,-0.0525681487818663,1,0,0,0,0,0,3208.004881314664,1005.594818594424,0,110,1213,2016,942,4171,1044,14,NA,7044,2882
10002,1,2019,1003719.49083333,35637,1019718.78038248,73780,0.893512656067921,0.937102361336592,-0.043589705268671,1,0,0,0,0,0,3300.8588981934627,1006.1184443134944,0,82,933,1614,960,3507,885,35,3,7867,2587
10002,1,2020,1075876.529,36233,1095901.26106771,73666,0.917324750230867,0.938521714915984,-0.0211969646851163,1,0,0,0,0,0,3114.1439690948723,1023.3198465487264,0,15,516,925,705,2146,659,13,1,11477,1506
10002,1,2021,1118323.4955,37313,NA,75912,0.913172030671248,NA,NA,1,NA,NA,NA,NA,NA,3134.7372861060894,1079.4989949883418,0,10,1571,1176,895,3642,571,6,1,14330,1887
10003,1,2011,567494.82765,24495,1120914.21692468,41286,0.868336442040532,0.97442888480462,-0.106092442764088,1,0,0,0,0,0,NA,1706.8091855480711,NA,NA,196,501,65,762,731,24,3,2326,5019
10003,1,2012,598776.359225,24447,1469824.03779733,42134,0.891312365701003,0.975483367956953,-0.0841710022559499,1,0,0,0,0,0,3110.0862729640717,1790.1879985274268,NA,NA,180,507,102,789,811,30,2,2711,4318
10003,1,2013,671627.629166667,24324,1538177.79750164,42493,0.90753148318744,0.97542457388686,-0.06789309069942,1,0,0,0,0,0,3225.5840288855397,1825.312571945404,NA,NA,246,691,251,1188,750,19,NA,2907,3671
