STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,m_ZCTA5CE10
"34","033","022100","34033022100","221",Census Tract 221,G5020,S,"2588340","1040205","+39.5702151","-075.4830208","08079"
"34","033","022202","34033022202","222.02",Census Tract 222.02,G5020,S,"30901777","3656526","+39.5333174","-075.4984782","08079"
"34","005","702300","34005702300","7023",Census Tract 7023,G5020,S,"1527134","44740","+39.9721899","-074.6865584","08068"
"34","035","050801","34035050801","508.01",Census Tract 508.01,G5020,S,"8663687","54171","+40.6077557","-074.6522461","08807"
"34","035","052400","34035052400","524",Census Tract 524,G5020,S,"15651373","126195","+40.7119558","-074.5432472","07920"
"34","035","053501","34035053501","535.01",Census Tract 535.01,G5020,S,"18914776","509036","+40.5233915","-074.5538631","08873"
"34","023","003001","34023003001","30.01",Census Tract 30.01,G5020,S,"1804444","5596","+40.5543813","-074.2871059","07095"
"34","023","003002","34023003002","30.02",Census Tract 30.02,G5020,S,"4044544","10275","+40.5524496","-074.3024047","07095"
"34","023","003101","34023003101","31.01",Census Tract 31.01,G5020,S,"1747357","1333","+40.5575547","-074.3247431","08840"
"34","035","053905","34035053905","539.05",Census Tract 539.05,G5020,S,"8691200","67229","+40.4546948","-074.6300525","08502"
"34","035","050704","34035050704","507.04",Census Tract 507.04,G5020,S,"4820120","86266","+40.5791368","-074.6717188","08807"
"34","005","700303","34005700303","7003.03",Census Tract 7003.03,G5020,S,"8162289","1131787","+40.0129366","-074.9957136","08077"
"34","005","700603","34005700603","7006.03",Census Tract 7006.03,G5020,S,"6459163","1193118","+40.0265093","-074.9658060","08075"
"34","005","700104","34005700104","7001.04",Census Tract 7001.04,G5020,S,"2478052","1281805","+40.0027886","-075.0447486","08065"
"34","005","703201","34005703201","7032.01",Census Tract 7032.01,G5020,S,"65603803","782284","+39.9168977","-074.6894875","08088"
"34","005","700304","34005700304","7003.04",Census Tract 7003.04,G5020,S,"1918848","88835","+39.9934802","-075.0139687","08077"
"34","005","704011","34005704011","7040.11",Census Tract 7040.11,G5020,S,"23475421","608290","+39.8131658","-074.8876182","08053"
"34","005","704006","34005704006","7040.06",Census Tract 7040.06,G5020,S,"2522822","4998","+39.8855283","-074.9296409","08053"
"34","005","702400","34005702400","7024",Census Tract 7024,G5020,S,"75513262","141771","+40.0395654","-074.7099397","08041"
"34","005","702810","34005702810","7028.10",Census Tract 7028.10,G5020,S,"3501421","767895","+40.0240335","-074.9084866","08046"
"34","005","701401","34005701401","7014.01",Census Tract 7014.01,G5020,S,"51130901","388741","+40.0874160","-074.7122587","08022"
"34","005","703801","34005703801","7038.01",Census Tract 7038.01,G5020,S,"37364466","680818","+39.8784959","-074.7970269","08055"
"34","005","703700","34005703700","7037",Census Tract 7037,G5020,S,"115129630","1448079","+39.7850030","-074.7171784","08088"
"34","005","700502","34005700502","7005.02",Census Tract 7005.02,G5020,S,"6043189","83246","+39.9713277","-074.9826588","08057"
"34","005","704009","34005704009","7040.09",Census Tract 7040.09,G5020,S,"8587334","61033","+39.8728255","-074.8712910","08053"
"34","005","700505","34005700505","7005.05",Census Tract 7005.05,G5020,S,"18526269","331600","+39.9935748","-074.9229335","08057"
"34","005","702203","34005702203","7022.03",Census Tract 7022.03,G5020,S,"37062776","566275","+39.9409157","-074.6407158","08640"
"34","005","700306","34005700306","7003.06",Census Tract 7003.06,G5020,S,"2152005","10108","+39.9978723","-074.9852553","08077"
"34","005","702206","34005702206","7022.06",Census Tract 7022.06,G5020,S,"15968585","446866","+39.9649512","-074.5356285","08015"
"34","005","701105","34005701105","7011.05",Census Tract 7011.05,G5020,S,"9368635","89538","+40.0444122","-074.8450931","08016"
"34","005","702204","34005702204","7022.04",Census Tract 7022.04,G5020,S,"25121644","116481","+39.9918085","-074.6801040","08022"
"34","005","701001","34005701001","7010.01",Census Tract 7010.01,G5020,S,"5074160","7737","+40.0479570","-074.9123416","08010"
"34","005","701402","34005701402","7014.02",Census Tract 7014.02,G5020,S,"5158390","15954","+40.0704731","-074.7511068","08505"
"34","005","703203","34005703203","7032.03",Census Tract 7032.03,G5020,S,"8415925","317460","+39.8994605","-074.7122494","08088"
"34","005","701303","34005701303","7013.03",Census Tract 7013.03,G5020,S,"20169253","111641","+40.0951419","-074.7866089","08554"
"34","005","702910","34005702910","7029.10",Census Tract 7029.10,G5020,S,"16986043","68862","+39.9489678","-074.8923946","08054"
"34","005","700403","34005700403","7004.03",Census Tract 7004.03,G5020,S,"2104160","0","+39.9516495","-075.0003324","08052"
"34","005","703804","34005703804","7038.04",Census Tract 7038.04,G5020,S,"38695501","1577759","+39.8279529","-074.8339800","08055"
"34","005","700701","34005700701","7007.01",Census Tract 7007.01,G5020,S,"1446641","93860","+40.0341250","-074.9634662","08075"
"34","005","702805","34005702805","7028.05",Census Tract 7028.05,G5020,S,"2136935","0","+40.0265350","-074.8890769","08046"
"34","005","702807","34005702807","7028.07",Census Tract 7028.07,G5020,S,"2094538","18332","+40.0452726","-074.8941678","08046"
"34","005","702207","34005702207","7022.07",Census Tract 7022.07,G5020,S,"11870306","42531","+39.9585584","-074.5903284","08064"
"34","005","703803","34005703803","7038.03",Census Tract 7038.03,G5020,S,"7760241","298139","+39.8767584","-074.8461825","08055"
"34","005","700405","34005700405","7004.05",Census Tract 7004.05,G5020,S,"970696","0","+39.9471400","-074.9934242","08052"
"34","005","703900","34005703900","7039",Census Tract 7039,G5020,S,"2951904","336335","+39.8523917","-074.8127355","08055"
"34","023","003300","34023003300","33",Census Tract 33,G5020,S,"4085510","263211","+40.5309447","-074.2941382","07095"
"34","023","003203","34023003203","32.03",Census Tract 32.03,G5020,S,"1691739","0","+40.5269456","-074.3062934","08863"
"34","023","007908","34023007908","79.08",Census Tract 79.08,G5020,S,"2587615","74961","+40.4401909","-074.2897749","08879"
"34","023","007909","34023007909","79.09",Census Tract 79.09,G5020,S,"6477193","16797","+40.4158210","-074.2714585","08857"
"34","023","007910","34023007910","79.10",Census Tract 79.10,G5020,S,"6281622","101505","+40.4343184","-074.2739583","07747"
"34","027","041200","34027041200","412",Census Tract 412,G5020,S,"6840438","685443","+40.8908526","-074.4420319","07046"
"34","027","041500","34027041500","415",Census Tract 415,G5020,S,"12446000","366701","+40.8639243","-074.5018519","07834"
"34","027","041602","34027041602","416.02",Census Tract 416.02,G5020,S,"4382206","268878","+40.8741102","-074.4550359","07834"
"34","005","702500","34005702500","7025",Census Tract 7025,G5020,S,"14840977","223647","+40.0002787","-074.7565469","08060"
"34","005","702915","34005702915","7029.15",Census Tract 7029.15,G5020,S,"2383263","24501","+39.9609274","-074.8791827","08054"
"34","023","006606","34023006606","66.06",Census Tract 66.06,G5020,S,"2886927","0","+40.4256844","-074.4331486","08816"
"34","023","004300","34023004300","43",Census Tract 43,G5020,S,"639457","0","+40.5274099","-074.2707127","08861"
"34","023","001001","34023001001","10.01",Census Tract 10.01,G5020,S,"1887962","1490","+40.5808341","-074.3974612","07080"
"34","023","007702","34023007702","77.02",Census Tract 77.02,G5020,S,"27854168","122029","+40.3617304","-074.3401501","08857"
"34","023","002302","34023002302","23.02",Census Tract 23.02,G5020,S,"1718210","0","+40.5929523","-074.3299917","07067"
"34","007","610600","34007610600","6106",Census Tract 6106,G5020,S,"1842384","220803","+39.9296822","-075.0758204","08109"
"34","023","003401","34023003401","34.01",Census Tract 34.01,G5020,S,"5203498","1507518","+40.5564625","-074.2481982","07077"
"34","023","003500","34023003500","35",Census Tract 35,G5020,S,"2782504","78751","+40.5908860","-074.2447847","07008"
"34","023","003700","34023003700","37",Census Tract 37,G5020,S,"1226821","7162","+40.5860086","-074.2312044","07008"
"34","023","004000","34023004000","40",Census Tract 40,G5020,S,"2084426","9996","+40.5348384","-074.2799388","08861"
"34","007","607507","34007607507","6075.07",Census Tract 6075.07,G5020,S,"2887880","27750","+39.8527869","-075.0041370","08043"
"34","027","041901","34027041901","419.01",Census Tract 419.01,G5020,S,"9949138","306796","+40.8323261","-074.3516193","07936"
"34","027","045402","34027045402","454.02",Census Tract 454.02,G5020,S,"8253008","1295687","+40.9090203","-074.6694728","07850"
"34","027","042100","34027042100","421",Census Tract 421,G5020,S,"9335539","96948","+40.8063321","-074.4247072","07981"
"34","027","040702","34027040702","407.02",Census Tract 407.02,G5020,S,"24755574","1233748","+40.9943656","-074.4074181","07405"
"34","027","044404","34027044404","444.04",Census Tract 444.04,G5020,S,"2625151","19787","+40.9151282","-074.5166015","07866"
"34","027","044401","34027044401","444.01",Census Tract 444.01,G5020,S,"85561034","9153376","+40.9646031","-074.5026227","07435"
"34","027","044403","34027044403","444.03",Census Tract 444.03,G5020,S,"7650235","1230418","+40.9276407","-074.5054128","07885"
"34","027","044601","34027044601","446.01",Census Tract 446.01,G5020,S,"17608730","944563","+41.0227539","-074.4906933","07438"
"34","027","041803","34027041803","418.03",Census Tract 418.03,G5020,S,"16120375","186341","+40.8454852","-074.3890370","07054"
"34","027","040701","34027040701","407.01",Census Tract 407.01,G5020,S,"21940555","1892334","+40.9643791","-074.3633513","07405"
"34","027","045300","34027045300","453",Census Tract 453,G5020,S,"19616972","1324125","+40.9164215","-074.6267629","07885"
"34","027","041300","34027041300","413",Census Tract 413,G5020,S,"12437301","969690","+40.9089155","-074.4676440","07046"
"34","023","008103","34023008103","81.03",Census Tract 81.03,G5020,S,"2145337","126737","+40.3784174","-074.4233840","08828"
"34","023","008001","34023008001","80.01",Census Tract 80.01,G5020,S,"7638758","6023162","+40.4570930","-074.2445218","08879"
"34","023","008204","34023008204","82.04",Census Tract 82.04,G5020,S,"5307929","36912","+40.3114001","-074.4712091","08831"
"34","009","020203","34009020203","202.03",Census Tract 202.03,G5020,S,"3845001","7345398","+39.2756446","-074.6002808","08244"
"34","027","045701","34027045701","457.01",Census Tract 457.01,G5020,S,"20187590","163842","+40.8349373","-074.6067180","07869"
"34","027","041702","34027041702","417.02",Census Tract 417.02,G5020,S,"1177780","22960","+40.8805766","-074.3751841","07034"
"34","027","040803","34027040803","408.03",Census Tract 408.03,G5020,S,"10513624","298429","+40.8691107","-074.3496544","07058"
"34","027","044701","34027044701","447.01",Census Tract 447.01,G5020,S,"6474832","3382718","+40.9673147","-074.6232170","07849"
"34","027","046104","34027046104","461.04",Census Tract 461.04,G5020,S,"23562683","143935","+40.8419328","-074.7309257","07836"
"34","027","041400","34027041400","414",Census Tract 414,G5020,S,"6174743","599007","+40.8890225","-074.4823773","07834"
"34","027","041604","34027041604","416.04",Census Tract 416.04,G5020,S,"5644438","41357","+40.8591423","-074.4608756","07950"
"34","027","045501","34027045501","455.01",Census Tract 455.01,G5020,S,"7865960","104341","+40.8459599","-074.6577254","07876"
"34","027","044101","34027044101","441.01",Census Tract 441.01,G5020,S,"7966303","137138","+40.6691146","-074.5159590","07946"
"34","027","046201","34027046201","462.01",Census Tract 462.01,G5020,S,"16471128","51789","+40.8320419","-074.7967604","07853"
"34","027","041704","34027041704","417.04",Census Tract 417.04,G5020,S,"5390388","10492","+40.8623045","-074.3631316","07034"
"34","027","041902","34027041902","419.02",Census Tract 419.02,G5020,S,"10446550","277782","+40.8121876","-074.3804730","07936"
"34","027","046297","34027046297","462.97",Census Tract 462.97,G5020,S,"33856694","223008","+40.7888041","-074.8362790","07853"
"34","027","044000","34027044000","440",Census Tract 440,G5020,S,"18740696","643770","+40.7304821","-074.4348267","07928"
"34","027","046298","34027046298","462.98",Census Tract 462.98,G5020,S,"45597936","382631","+40.7640295","-074.7663408","07853"
"34","027","044200","34027044200","442",Census Tract 442,G5020,S,"51939965","1336022","+40.7409562","-074.4968143","07960"
"34","027","044102","34027044102","441.02",Census Tract 441.02,G5020,S,"22587391","531679","+40.6943230","-074.4776245","07933"
"34","027","040200","34027040200","402",Census Tract 402,G5020,S,"7245521","759077","+40.9613715","-074.2887830","07444"
"34","027","044602","34027044602","446.02",Census Tract 446.02,G5020,S,"42921534","2762456","+41.0312191","-074.5516319","07438"
"34","027","043401","34027043401","434.01",Census Tract 434.01,G5020,S,"7908434","30963","+40.8215534","-074.5082388","07869"
"34","027","044504","34027044504","445.04",Census Tract 445.04,G5020,S,"4224955","81453","+40.9043821","-074.5424239","07866"
"34","027","040805","34027040805","408.05",Census Tract 408.05,G5020,S,"10394307","204985","+40.9071703","-074.3426700","07045"
"34","005","702913","34005702913","7029.13",Census Tract 7029.13,G5020,S,"2181587","29131","+39.9744612","-074.8736485","08054"
"34","005","702917","34005702917","7029.17",Census Tract 7029.17,G5020,S,"1237965","3899","+39.9651601","-074.8654891","08054"
"34","005","702918","34005702918","7029.18",Census Tract 7029.18,G5020,S,"1719393","13303","+39.9444922","-074.8671025","08054"
"34","005","703104","34005703104","7031.04",Census Tract 7031.04,G5020,S,"6170181","155256","+39.9726279","-074.7979412","08048"
"34","027","043100","34027043100","431",Census Tract 431,G5020,S,"3001242","4054","+40.7506624","-074.4173611","07940"
"34","027","043200","34027043200","432",Census Tract 432,G5020,S,"3235869","15647","+40.7604486","-074.4280189","07940"
"34","027","043301","34027043301","433.01",Census Tract 433.01,G5020,S,"4143535","22599","+40.8015748","-074.4550797","07960"
"34","027","043302","34027043302","433.02",Census Tract 433.02,G5020,S,"4535772","40394","+40.7863763","-074.4417237","07960"
"34","023","004700","34023004700","47",Census Tract 47,G5020,S,"648594","0","+40.5166450","-074.2805574","08861"
"34","023","004200","34023004200","42",Census Tract 42,G5020,S,"589567","0","+40.5228725","-074.2783864","08861"
"34","023","004800","34023004800","48",Census Tract 48,G5020,S,"1724461","694047","+40.5087766","-074.2834738","08861"
"34","005","700408","34005700408","7004.08",Census Tract 7004.08,G5020,S,"1221255","0","+39.9358085","-074.9761980","08052"
"34","027","043000","34027043000","430",Census Tract 430,G5020,S,"2868107","2182","+40.7581655","-074.4057936","07940"
"34","027","043303","34027043303","433.03",Census Tract 433.03,G5020,S,"7415254","104731","+40.7745890","-074.4861919","07960"
"34","023","005000","34023005000","50",Census Tract 50,G5020,S,"697209","1012019","+40.5005553","-074.2688393","08861"
"34","023","005100","34023005100","51",Census Tract 51,G5020,S,"1631211","389513","+40.5028288","-074.4554492","08901"
"34","023","005200","34023005200","52",Census Tract 52,G5020,S,"548120","0","+40.4963968","-074.4553486","08901"
"34","023","005300","34023005300","53",Census Tract 53,G5020,S,"423510","0","+40.4920055","-074.4539490","08901"
"34","023","004400","34023004400","44",Census Tract 44,G5020,S,"472411","0","+40.5199900","-074.2727323","08861"
"34","023","008205","34023008205","82.05",Census Tract 82.05,G5020,S,"2634233","81769","+40.3126162","-074.4483904","08831"
"34","023","008206","34023008206","82.06",Census Tract 82.06,G5020,S,"5080699","67889","+40.3340477","-074.4645186","08831"
"34","023","008207","34023008207","82.07",Census Tract 82.07,G5020,S,"2666337","14565","+40.3290535","-074.4458110","08831"
"34","003","005000","34003005000","50",Census Tract 50,G5020,S,"10221592","674547","+40.8264308","-074.0623347","07072"
"34","003","007001","34003007001","70.01",Census Tract 70.01,G5020,S,"3529447","356174","+40.9743993","-073.9745798","07624"
"34","003","007002","34003007002","70.02",Census Tract 70.02,G5020,S,"4655526","11144","+40.9732134","-073.9515820","07624"
"34","003","010100","34003010100","101",Census Tract 101,G5020,S,"1768883","0","+40.9459556","-073.9823234","07628"
"34","027","040801","34027040801","408.01",Census Tract 408.01,G5020,S,"22068600","707257","+40.9368741","-074.3687826","07082"
"34","027","040900","34027040900","409",Census Tract 409,G5020,S,"21059387","950547","+40.9312638","-074.4249278","07005"
"34","027","041000","34027041000","410",Census Tract 410,G5020,S,"4012305","348914","+40.9038002","-074.4003829","07005"
"34","027","041100","34027041100","411",Census Tract 411,G5020,S,"2036485","62958","+40.9081425","-074.4167798","07005"
"34","003","017400","34003017400","174",Census Tract 174,G5020,S,"2429904","88666","+40.9355136","-074.1026947","07410"
"34","003","018200","34003018200","182",Census Tract 182,G5020,S,"1594712","4243","+40.8211103","-074.0030322","07022"
"34","007","601700","34007601700","6017",Census Tract 6017,G5020,S,"885671","0","+39.9199730","-075.1098016","08104"
"34","007","601800","34007601800","6018",Census Tract 6018,G5020,S,"1999381","839973","+39.9218365","-075.1259045","08104"
"34","007","601900","34007601900","6019",Census Tract 6019,G5020,S,"1151659","53345","+39.9133728","-075.1090977","08104"
"34","003","019102","34003019102","191.02",Census Tract 191.02,G5020,S,"827541","604126","+40.8598925","-073.9552408","07024"
"34","023","005500","34023005500","55",Census Tract 55,G5020,S,"3062466","0","+40.4791142","-074.4736471","08901"
"34","023","005700","34023005700","57",Census Tract 57,G5020,S,"723125","0","+40.4796974","-074.4491763","08901"
"34","023","006101","34023006101","61.01",Census Tract 61.01,G5020,S,"3298264","0","+40.4721354","-074.4475194","08902"
"34","023","006103","34023006103","61.03",Census Tract 61.03,G5020,S,"2845233","9920","+40.4642527","-074.4730654","08902"
"34","003","011100","34003011100","111",Census Tract 111,G5020,S,"1294769","41454","+40.9181154","-074.1204370","07407"
"34","003","011200","34003011200","112",Census Tract 112,G5020,S,"1142139","64419","+40.9105072","-074.1264399","07407"
"34","003","011300","34003011300","113",Census Tract 113,G5020,S,"2100025","105212","+40.8964198","-074.1232243","07407"
"34","003","011400","34003011400","114",Census Tract 114,G5020,S,"2308180","0","+40.9026932","-074.1124847","07407"
"34","003","014000","34003014000","140",Census Tract 140,G5020,S,"5778027","493201","+40.9749901","-074.0232476","07630"
"34","003","015200","34003015200","152",Census Tract 152,G5020,S,"2026199","5573","+40.9070229","-073.9757766","07631"
"34","003","015300","34003015300","153",Census Tract 153,G5020,S,"1603857","0","+40.8963444","-073.9867428","07631"
"34","023","008209","34023008209","82.09",Census Tract 82.09,G5020,S,"3124988","0","+40.3704459","-074.3799449","08831"
"34","023","008300","34023008300","83",Census Tract 83,G5020,S,"2285188","20293","+40.3490381","-074.4402016","08831"
"34","003","015500","34003015500","155",Census Tract 155,G5020,S,"3704990","21986","+40.8799094","-073.9707474","07631"
"34","003","016000","34003016000","160",Census Tract 160,G5020,S,"5506668","3238179","+40.8846338","-073.9446545","07632"
"34","027","043402","34027043402","434.02",Census Tract 434.02,G5020,S,"16613911","141140","+40.7965188","-074.5221625","07960"
"34","027","043500","34027043500","435",Census Tract 435,G5020,S,"1121636","97987","+40.8059100","-074.4767763","07960"
"34","027","043900","34027043900","439",Census Tract 439,G5020,S,"4772036","60353","+40.7325520","-074.4084989","07928"
"34","027","044300","34027044300","443",Census Tract 443,G5020,S,"5371571","120927","+40.8958526","-074.5173232","07866"
"34","003","010300","34003010300","103",Census Tract 103,G5020,S,"2288205","7228","+40.9470434","-073.9991367","07649"
"34","003","017200","34003017200","172",Census Tract 172,G5020,S,"3192005","45608","+40.9419962","-074.1345259","07410"
"34","023","002000","34023002000","20",Census Tract 20,G5020,S,"2611994","5082","+40.5459530","-074.3729907","08840"
"34","023","004100","34023004100","41",Census Tract 41,G5020,S,"544514","0","+40.5246258","-074.2844466","08861"
"34","023","006800","34023006800","68",Census Tract 68,G5020,S,"2502459","137913","+40.4543547","-074.3889467","08882"
"34","023","006900","34023006900","69",Census Tract 69,G5020,S,"963760","84820","+40.4489178","-074.3780445","08882"
"34","023","007000","34023007000","70",Census Tract 70,G5020,S,"3746778","178290","+40.4385958","-074.3720391","08882"
"34","023","007101","34023007101","71.01",Census Tract 71.01,G5020,S,"4268062","693468","+40.4667942","-074.3678840","08872"
"34","003","056100","34003056100","561",Census Tract 561,G5020,S,"1860965","0","+41.0123472","-074.1104655","07463"
"34","017","002800","34017002800","28",Census Tract 28,G5020,S,"295626","0","+40.7266478","-074.0731570","07306"
