ZCTA5CE10,AFFGEOID10,GEOID10,ALAND10,AWATER10,GEOID
"08079",8600000US08079,"08079","235838503","23250185","34033022100"
"08070",8600000US08070,"08070","53049539","8456271","34033022100"
"08079",8600000US08079,"08079","235838503","23250185","34033022202"
"08070",8600000US08070,"08070","53049539","8456271","34033022202"
"08038",8600000US08038,"08038","44866569","9711670","34033022202"
"08068",8600000US08068,"08068","60074590","629081","34005702300"
"07921",8600000US07921,"07921","49361813","499888","34035050801"
"08876",8600000US08876,"08876","39360110","445347","34035050801"
"08807",8600000US08807,"08807","66211348","1044931","34035050801"
"07976",8600000US07976,"07976","18365109","1007030","34035052400"
"07960",8600000US07960,"07960","90684866","913352","34035052400"
"07946",8600000US07946,"07946","10691442","205392","34035052400"
"07924",8600000US07924,"07924","31203854","188316","34035052400"
"07920",8600000US07920,"07920","60782908","443600","34035052400"
"08880",8600000US08880,"08880","1674009","250127","34035053501"
"08844",8600000US08844,"08844","142550740","1310115","34035053501"
"08835",8600000US08835,"08835","6122502","226401","34035053501"
"08890",8600000US08890,"08890","454728","123197","34035053501"
"08807",8600000US08807,"08807","66211348","1044931","34035053501"
"08873",8600000US08873,"08873","83647256","1106971","34035053501"
"08830",8600000US08830,"08830","8224389","2713","34023003001"
"07095",8600000US07095,"07095","10714919","41164","34023003001"
"08840",8600000US08840,"08840","8340520","6323","34023003002"
"08830",8600000US08830,"08830","8224389","2713","34023003002"
"08863",8600000US08863,"08863","6601966","333366","34023003002"
"07095",8600000US07095,"07095","10714919","41164","34023003002"
"08840",8600000US08840,"08840","8340520","6323","34023003101"
"08830",8600000US08830,"08830","8224389","2713","34023003101"
"08837",8600000US08837,"08837","23405693","1782236","34023003101"
"08863",8600000US08863,"08863","6601966","333366","34023003101"
"08540",8600000US08540,"08540","134484063","2610255","34035053905"
"08844",8600000US08844,"08844","142550740","1310115","34035053905"
"08502",8600000US08502,"08502","33041699","222122","34035053905"
"08869",8600000US08869,"08869","5164054","112714","34035050704"
"08876",8600000US08876,"08876","39360110","445347","34035050704"
"08807",8600000US08807,"08807","66211348","1044931","34035050704"
"08075",8600000US08075,"08075","25724280","4450598","34005700303"
"08077",8600000US08077,"08077","20978853","2091058","34005700303"
"08065",8600000US08065,"08065","4795363","1886714","34005700303"
"19136",8600000US19136,"19136","12046192","2300774","34005700303"
"08075",8600000US08075,"08075","25724280","4450598","34005700603"
"08077",8600000US08077,"08077","20978853","2091058","34005700603"
"19136",8600000US19136,"19136","12046192","2300774","34005700603"
"19137",8600000US19137,"19137","6262769","2185725","34005700104"
"08065",8600000US08065,"08065","4795363","1886714","34005700104"
"19135",8600000US19135,"19135","6016733","857509","34005700104"
"08110",8600000US08110,"08110","16634431","4005261","34005700104"
"08011",8600000US08011,"08011","338945","0","34005703201"
"08060",8600000US08060,"08060","57496268","822715","34005703201"
"08068",8600000US08068,"08068","60074590","629081","34005703201"
"08088",8600000US08088,"08088","359234065","4229950","34005703201"
"08015",8600000US08015,"08015","124071950","3335827","34005703201"
"08077",8600000US08077,"08077","20978853","2091058","34005700304"
"08065",8600000US08065,"08065","4795363","1886714","34005700304"
"08110",8600000US08110,"08110","16634431","4005261","34005700304"
"08091",8600000US08091,"08091","8655789","15360","34005704011"
"08043",8600000US08043,"08043","29720489","387795","34005704011"
"08004",8600000US08004,"08004","32271147","276070","34005704011"
"08055",8600000US08055,"08055","103459143","2948035","34005704011"
"08053",8600000US08053,"08053","75518831","1087132","34005704011"
"08009",8600000US08009,"08009","35435788","481280","34005704011"
"08043",8600000US08043,"08043","29720489","387795","34005704006"
"08003",8600000US08003,"08003","28669960","39223","34005704006"
"08053",8600000US08053,"08053","75518831","1087132","34005704006"
"08060",8600000US08060,"08060","57496268","822715","34005702400"
"08068",8600000US08068,"08068","60074590","629081","34005702400"
"08016",8600000US08016,"08016","58967993","3392860","34005702400"
"08022",8600000US08022,"08022","56821261","205733","34005702400"
"08640",8600000US08640,"08640","55505334","519106","34005702400"
"08515",8600000US08515,"08515","54461342","384151","34005702400"
"08562",8600000US08562,"08562","44538618","272039","34005702400"
"08505",8600000US08505,"08505","54703736","2012798","34005702400"
"08042",8600000US08042,"08042","1720015","0","34005702400"
"08041",8600000US08041,"08041","29496258","28970","34005702400"
"08010",8600000US08010,"08010","9943028","1365760","34005702810"
"08075",8600000US08075,"08075","25724280","4450598","34005702810"
"08046",8600000US08046,"08046","18986400","663936","34005702810"
"08057",8600000US08057,"08057","39568934","525621","34005702810"
"08554",8600000US08554,"08554","2735248","417360","34005701401"
"08022",8600000US08022,"08022","56821261","205733","34005701401"
"08515",8600000US08515,"08515","54461342","384151","34005701401"
"08562",8600000US08562,"08562","44538618","272039","34005701401"
"08505",8600000US08505,"08505","54703736","2012798","34005701401"
"08041",8600000US08041,"08041","29496258","28970","34005701401"
"08055",8600000US08055,"08055","103459143","2948035","34005703801"
"08048",8600000US08048,"08048","34080778","340465","34005703801"
"08088",8600000US08088,"08088","359234065","4229950","34005703801"
"08037",8600000US08037,"08037","302477497","4398139","34005703700"
"08055",8600000US08055,"08055","103459143","2948035","34005703700"
"08088",8600000US08088,"08088","359234065","4229950","34005703700"
"08052",8600000US08052,"08052","9922683","3021","34005700502"
"08077",8600000US08077,"08077","20978853","2091058","34005700502"
"08057",8600000US08057,"08057","39568934","525621","34005700502"
"08055",8600000US08055,"08055","103459143","2948035","34005704009"
"08053",8600000US08053,"08053","75518831","1087132","34005704009"
"08075",8600000US08075,"08075","25724280","4450598","34005700505"
"08077",8600000US08077,"08077","20978853","2091058","34005700505"
"08054",8600000US08054,"08054","56251061","691617","34005700505"
"08046",8600000US08046,"08046","18986400","663936","34005700505"
"08057",8600000US08057,"08057","39568934","525621","34005700505"
"08011",8600000US08011,"08011","338945","0","34005702203"
"08068",8600000US08068,"08068","60074590","629081","34005702203"
"08640",8600000US08640,"08640","55505334","519106","34005702203"
"08064",8600000US08064,"08064","3315872","60566","34005702203"
"08088",8600000US08088,"08088","359234065","4229950","34005702203"
"08015",8600000US08015,"08015","124071950","3335827","34005702203"
"08075",8600000US08075,"08075","25724280","4450598","34005700306"
"08077",8600000US08077,"08077","20978853","2091058","34005700306"
"08015",8600000US08015,"08015","124071950","3335827","34005702206"
"08060",8600000US08060,"08060","57496268","822715","34005701105"
"08016",8600000US08016,"08016","58967993","3392860","34005701105"
"08046",8600000US08046,"08046","18986400","663936","34005701105"
"08011",8600000US08011,"08011","338945","0","34005702204"
"08060",8600000US08060,"08060","57496268","822715","34005702204"
"08068",8600000US08068,"08068","60074590","629081","34005702204"
"08022",8600000US08022,"08022","56821261","205733","34005702204"
"08640",8600000US08640,"08640","55505334","519106","34005702204"
"08042",8600000US08042,"08042","1720015","0","34005702204"
"08064",8600000US08064,"08064","3315872","60566","34005702204"
"08088",8600000US08088,"08088","359234065","4229950","34005702204"
"08010",8600000US08010,"08010","9943028","1365760","34005701001"
"08075",8600000US08075,"08075","25724280","4450598","34005701001"
"08046",8600000US08046,"08046","18986400","663936","34005701001"
"08016",8600000US08016,"08016","58967993","3392860","34005701402"
"08022",8600000US08022,"08022","56821261","205733","34005701402"
"08505",8600000US08505,"08505","54703736","2012798","34005701402"
"08088",8600000US08088,"08088","359234065","4229950","34005703203"
"08554",8600000US08554,"08554","2735248","417360","34005701303"
"08016",8600000US08016,"08016","58967993","3392860","34005701303"
