STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,m_ZCTA5CE10
"36","047","000700","36047000700","7",Census Tract 7,G5020,S,"176774","0","+40.6923505","-073.9973434","11201"
"36","047","000900","36047000900","9",Census Tract 9,G5020,S,"163469","0","+40.6917206","-073.9916018","11201"
"36","047","001100","36047001100","11",Census Tract 11,G5020,S,"168507","0","+40.6932903","-073.9877087","11201"
"36","047","001300","36047001300","13",Census Tract 13,G5020,S,"293167","0","+40.6976150","-073.9883586","11201"
"36","047","002000","36047002000","20",Census Tract 20,G5020,S,"154138","0","+40.6480407","-074.0159276","11220"
"36","047","002100","36047002100","21",Census Tract 21,G5020,S,"528955","39281","+40.7034471","-073.9871024","11201"
"36","047","002200","36047002200","22",Census Tract 22,G5020,S,"340046","0","+40.6434585","-074.0216933","11232"
"36","047","002901","36047002901","29.01",Census Tract 29.01,G5020,S,"109261","0","+40.6949933","-073.9780959","11205"
"36","047","003400","36047003400","34",Census Tract 34,G5020,S,"477399","2570730","+40.6404176","-074.0334392","11220"
"36","047","003700","36047003700","37",Census Tract 37,G5020,S,"166448","0","+40.6893925","-073.9847008","11201"
"36","047","003900","36047003900","39",Census Tract 39,G5020,S,"156923","0","+40.6849013","-073.9808240","11217"
"36","005","014100","36005014100","141",Census Tract 141,G5020,S,"177165","0","+40.8237653","-073.9122950","10456"
"36","005","033000","36005033000","330",Census Tract 330,G5020,S,"206129","0","+40.8616561","-073.8660255","10467"
"36","005","021100","36005021100","211",Census Tract 211,G5020,S,"151667","0","+40.8403976","-073.9235077","10452"
"36","005","004600","36005004600","46",Census Tract 46,G5020,S,"135339","0","+40.8224189","-073.8691776","10473"
"36","005","005902","36005005902","59.02",Census Tract 59.02,G5020,S,"70347","0","+40.8241059","-073.9234371","10451"
"36","005","028100","36005028100","281",Census Tract 281,G5020,S,"129158","0","+40.8837896","-073.8906453","10463"
"36","005","022701","36005022701","227.01",Census Tract 227.01,G5020,S,"117193","0","+40.8468041","-073.9110601","10453"
"36","005","031600","36005031600","316",Census Tract 316,G5020,S,"177170","0","+40.8619716","-073.8487247","10469"
"36","005","019500","36005019500","195",Census Tract 195,G5020,S,"219844","0","+40.8304774","-073.9225235","10452"
"36","005","028600","36005028600","286",Census Tract 286,G5020,S,"200018","0","+40.8491849","-073.8477752","10461"
"36","005","016400","36005016400","164",Census Tract 164,G5020,S,"164578","0","+40.8322025","-073.8248470","10465"
"36","005","036800","36005036800","368",Census Tract 368,G5020,S,"169530","0","+40.8753072","-073.8559420","10469"
"36","005","006000","36005006000","60",Census Tract 60,G5020,S,"336489","0","+40.8376356","-073.8777710","10460"
"36","005","037600","36005037600","376",Census Tract 376,G5020,S,"124765","0","+40.8745386","-073.8692050","10467"
"36","005","023301","36005023301","233.01",Census Tract 233.01,G5020,S,"119112","0","+40.8495612","-073.9087543","10453"
"36","005","004001","36005004001","40.01",Census Tract 40.01,G5020,S,"123145","0","+40.8282719","-073.8583355","10472"
"36","005","006900","36005006900","69",Census Tract 69,G5020,S,"187978","0","+40.8218666","-073.9157567","10451"
"36","005","003100","36005003100","31",Census Tract 31,G5020,S,"154703","0","+40.8098988","-073.9056901","10455"
"36","005","039000","36005039000","390",Census Tract 390,G5020,S,"181646","0","+40.8812352","-073.8607600","10467"
"36","005","042800","36005042800","428",Census Tract 428,G5020,S,"169199","0","+40.8945094","-073.8457030","10466"
"36","005","038800","36005038800","388",Census Tract 388,G5020,S,"148659","0","+40.8795982","-073.8553665","10469"
"36","005","005600","36005005600","56",Census Tract 56,G5020,S,"136188","0","+40.8326118","-073.8790757","10460"
"36","005","014500","36005014500","145",Census Tract 145,G5020,S,"181903","0","+40.8315139","-073.9070259","10456"
"36","091","060602","36091060602","606.02",Census Tract 606.02,G5020,S,"106701276","380719","+43.1328518","-073.9146085","12859"
"36","091","062507","36091062507","625.07",Census Tract 625.07,G5020,S,"16884295","2914789","+42.7966850","-073.8116212","12110"
"36","091","062509","36091062509","625.09",Census Tract 625.09,G5020,S,"8932474","0","+42.8741127","-073.8048539","12065"
"36","091","060601","36091060601","606.01",Census Tract 606.01,G5020,S,"63976664","383620","+43.1385663","-073.8198485","12866"
"36","047","017700","36047017700","177",Census Tract 177,G5020,S,"2313048","227326","+40.6591256","-073.9697734","11238"
"36","047","017800","36047017800","178",Census Tract 178,G5020,S,"164020","0","+40.6069686","-074.0047234","11214"
"36","047","017900","36047017900","179",Census Tract 179,G5020,S,"158289","0","+40.6842401","-073.9713282","11238"
"36","047","018000","36047018000","180",Census Tract 180,G5020,S,"176108","0","+40.6083001","-074.0071511","11214"
"36","047","018200","36047018200","182",Census Tract 182,G5020,S,"165463","0","+40.6124597","-074.0026813","11214"
"36","047","018300","36047018300","183",Census Tract 183,G5020,S,"137311","0","+40.6913760","-073.9714779","11205"
"36","047","018501","36047018501","185.01",Census Tract 185.01,G5020,S,"111097","0","+40.6947866","-073.9741567","11205"
"36","047","018600","36047018600","186",Census Tract 186,G5020,S,"113054","0","+40.6156439","-074.0051063","11228"
"36","047","018700","36047018700","187",Census Tract 187,G5020,S,"85768","0","+40.6946579","-073.9706403","11205"
"36","047","019000","36047019000","190",Census Tract 190,G5020,S,"212934","0","+40.6210380","-074.0003857","11228"
"36","047","019100","36047019100","191",Census Tract 191,G5020,S,"253797","0","+40.6952427","-073.9644277","11205"
"36","047","019200","36047019200","192",Census Tract 192,G5020,S,"189790","0","+40.6284585","-073.9989281","11219"
"36","047","019600","36047019600","196",Census Tract 196,G5020,S,"188308","0","+40.6234234","-074.0041850","11228"
"36","047","019700","36047019700","197",Census Tract 197,G5020,S,"169819","0","+40.6880022","-073.9667469","11205"
"36","047","019800","36047019800","198",Census Tract 198,G5020,S,"134715","0","+40.6193594","-074.0066177","11228"
"36","047","019900","36047019900","199",Census Tract 199,G5020,S,"188914","0","+40.6840329","-073.9669265","11238"
"36","047","020000","36047020000","200",Census Tract 200,G5020,S,"134858","0","+40.6206890","-074.0088197","11228"
"36","047","020300","36047020300","203",Census Tract 203,G5020,S,"140848","0","+40.6799568","-073.9648123","11238"
"36","047","020400","36047020400","204",Census Tract 204,G5020,S,"134801","0","+40.6233502","-074.0132239","11228"
"36","047","020600","36047020600","206",Census Tract 206,G5020,S,"170942","0","+40.6248807","-074.0154509","11228"
"36","047","020700","36047020700","207",Census Tract 207,G5020,S,"137892","0","+40.6749547","-073.9666124","11238"
"36","005","026300","36005026300","263",Census Tract 263,G5020,S,"158774","0","+40.8647665","-073.9044669","10468"
"36","005","029700","36005029700","297",Census Tract 297,G5020,S,"232730","0","+40.8849310","-073.9118383","10463"
"36","005","020601","36005020601","206.01",Census Tract 206.01,G5020,S,"151551","0","+40.8366476","-073.8505404","10462"
"36","005","042000","36005042000","420",Census Tract 420,G5020,S,"150497","0","+40.8930261","-073.8598556","10466"
"36","005","015800","36005015800","158",Census Tract 158,G5020,S,"162176","0","+40.8248672","-073.8186182","10465"
"36","005","007400","36005007400","74",Census Tract 74,G5020,S,"187162","0","+40.8194734","-073.8528608","10473"
"36","005","028800","36005028800","288",Census Tract 288,G5020,S,"336192","0","+40.8542921","-073.8514721","10461"
"36","005","022902","36005022902","229.02",Census Tract 229.02,G5020,S,"91601","0","+40.8437952","-073.9071529","10457"
"36","005","013300","36005013300","133",Census Tract 133,G5020,S,"161170","0","+40.8228225","-073.9034849","10456"
"36","005","017100","36005017100","171",Census Tract 171,G5020,S,"174588","0","+40.8404231","-073.9075041","10456"
"36","005","045101","36005045101","451.01",Census Tract 451.01,G5020,S,"176003","0","+40.8974545","-073.8643137","10470"
"36","005","008300","36005008300","83",Census Tract 83,G5020,S,"213932","0","+40.8136778","-073.9018400","10455"
"36","005","040400","36005040400","404",Census Tract 404,G5020,S,"215289","0","+40.8861691","-073.8513487","10466"
"36","005","046000","36005046000","460",Census Tract 460,G5020,S,"287814","0","+40.8824438","-073.8426481","10466"
"36","005","025200","36005025200","252",Census Tract 252,G5020,S,"190718","0","+40.8471319","-073.8549662","10462"
"36","005","023501","36005023501","235.01",Census Tract 235.01,G5020,S,"68200","0","+40.8521471","-073.9045719","10453"
"36","005","036501","36005036501","365.01",Census Tract 365.01,G5020,S,"95827","0","+40.8454083","-073.8857769","10460"
"36","005","021601","36005021601","216.01",Census Tract 216.01,G5020,S,"164047","0","+40.8375386","-073.8648220","10460"
"36","005","040304","36005040304","403.04",Census Tract 403.04,G5020,S,"67355","0","+40.8676699","-073.8951873","10468"
