ZCTA5CE10,AFFGEOID10,GEOID10,ALAND10,AWATER10,GEOID
"11718",8600000US11718,"11718","2417741","58407","36103145903"
"11718",8600000US11718,"11718","2417741","58407","36103147100"
"11718",8600000US11718,"11718","2417741","58407","36103147202"
"11718",8600000US11718,"11718","2417741","58407","36103147201"
"11718",8600000US11718,"11718","2417741","58407","36103147004"
"11718",8600000US11718,"11718","2417741","58407","36103147003"
"11219",8600000US11219,"11219","3838517","0","36047019000"
"11219",8600000US11219,"11219","3838517","0","36047019200"
"11219",8600000US11219,"11219","3838517","0","36047019600"
"11219",8600000US11219,"11219","3838517","0","36047020800"
"11219",8600000US11219,"11219","3838517","0","36047021000"
"11219",8600000US11219,"11219","3838517","0","36047021400"
"11219",8600000US11219,"11219","3838517","0","36047021800"
"11219",8600000US11219,"11219","3838517","0","36047022200"
"11219",8600000US11219,"11219","3838517","0","36047023800"
"11219",8600000US11219,"11219","3838517","0","36047011000"
"11219",8600000US11219,"11219","3838517","0","36047011200"
"11219",8600000US11219,"11219","3838517","0","36047011400"
"11219",8600000US11219,"11219","3838517","0","36047011600"
"11219",8600000US11219,"11219","3838517","0","36047012000"
"11219",8600000US11219,"11219","3838517","0","36047013200"
"11219",8600000US11219,"11219","3838517","0","36047009402"
"11219",8600000US11219,"11219","3838517","0","36047009202"
"11219",8600000US11219,"11219","3838517","0","36047009002"
"11219",8600000US11219,"11219","3838517","0","36047010402"
"11219",8600000US11219,"11219","3838517","0","36047010602"
"11219",8600000US11219,"11219","3838517","0","36047010802"
"11219",8600000US11219,"11219","3838517","0","36047022000"
"11219",8600000US11219,"11219","3838517","0","36047022400"
"11219",8600000US11219,"11219","3838517","0","36047022600"
"11219",8600000US11219,"11219","3838517","0","36047023000"
"11219",8600000US11219,"11219","3838517","0","36047023400"
"11219",8600000US11219,"11219","3838517","0","36047023600"
"11219",8600000US11219,"11219","3838517","0","36047024000"
"11219",8600000US11219,"11219","3838517","0","36047024200"
"11219",8600000US11219,"11219","3838517","0","36047024800"
"11219",8600000US11219,"11219","3838517","0","36047025000"
"11219",8600000US11219,"11219","3838517","0","36047025200"
"11219",8600000US11219,"11219","3838517","0","36047026200"
"11219",8600000US11219,"11219","3838517","0","36047021200"
"11219",8600000US11219,"11219","3838517","0","36047019400"
"11219",8600000US11219,"11219","3838517","0","36047012801"
"11219",8600000US11219,"11219","3838517","0","36047047000"
"11219",8600000US11219,"11219","3838517","0","36047047400"
"11219",8600000US11219,"11219","3838517","0","36047047600"
