STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,m_ZCTA5CE10
"42","095","017703","42095017703","177.03",Census Tract 177.03,G5020,S,"3708021","9639","+40.6498956","-075.3948647","18017"
"42","101","012204","42101012204","122.04",Census Tract 122.04,G5020,S,"879459","56473","+40.0009407","-075.2120769","19131"
"42","129","804300","42129804300","8043",Census Tract 8043,G5020,S,"1014739","0","+40.2918690","-079.5478131","15601"
"42","129","804801","42129804801","8048.01",Census Tract 8048.01,G5020,S,"6852606","0","+40.3011416","-079.6013733","15644"
"42","129","805200","42129805200","8052",Census Tract 8052,G5020,S,"1873022","0","+40.1523157","-079.8745928","15062"
"42","101","012203","42101012203","122.03",Census Tract 122.03,G5020,S,"227696","0","+40.0074872","-075.2093403","19131"
"42","101","013602","42101013602","136.02",Census Tract 136.02,G5020,S,"246812","0","+39.9716057","-075.1800748","19130"
"42","101","034502","42101034502","345.02",Census Tract 345.02,G5020,S,"1021734","0","+40.0814101","-075.0384569","19115"
"42","101","000902","42101000902","9.02",Census Tract 9.02,G5020,S,"155167","0","+39.9471596","-075.1566389","19107"
"42","101","001201","42101001201","12.01",Census Tract 12.01,G5020,S,"327555","30728","+39.9470373","-075.1799169","19146"
"42","101","002702","42101002702","27.02",Census Tract 27.02,G5020,S,"367675","0","+39.9280114","-075.1495606","19147"
"42","089","300700","42089300700","3007",Census Tract 3007,G5020,S,"3322069","37107","+40.9946998","-075.1750771","18301"
"42","105","950402","42105950402","9504.02",Census Tract 9504.02,G5020,S,"795877346","8044","+41.6031809","-078.0097562","16720"
"42","105","950102","42105950102","9501.02",Census Tract 9501.02,G5020,S,"499222331","116489","+41.8636478","-077.8102814","16948"
"42","105","950101","42105950101","9501.01",Census Tract 9501.01,G5020,S,"197287186","39186","+41.9472541","-077.7475528","16948"
"42","105","950401","42105950401","9504.01",Census Tract 9504.01,G5020,S,"84476163","1945","+41.7754903","-078.1422347","16746"
"42","091","206704","42091206704","2067.04",Census Tract 2067.04,G5020,S,"21471376","224407","+40.2049930","-075.4134237","19426"
"42","021","013600","42021013600","136",Census Tract 136,G5020,S,"1886501","80991","+40.3573545","-078.9413842","15906"
"42","021","013700","42021013700","137",Census Tract 137,G5020,S,"15917464","0","+40.2631124","-078.8331656","15963"
"42","049","012100","42049012100","121",Census Tract 121,G5020,S,"221621464","1959041","+41.9221942","-079.9593265",
"42","033","330900","42033330900","3309",Census Tract 3309,G5020,S,"98852623","734084","+40.8823344","-078.3104948","16666"
"42","033","330100","42033330100","3301",Census Tract 3301,G5020,S,"58112166","208623","+41.1023394","-078.7771573","15824"
"42","033","331500","42033331500","3315",Census Tract 3315,G5020,S,"261299243","1528188","+40.9180004","-078.6963621","15757"
"42","033","330400","42033330400","3304",Census Tract 3304,G5020,S,"76465552","2467822","+41.1550530","-078.6990446","15801"
"42","033","331300","42033331300","3313",Census Tract 3313,G5020,S,"64492729","763428","+40.9833895","-078.4697287","16837"
"42","033","330600","42033330600","3306",Census Tract 3306,G5020,S,"149295978","1068529","+41.1174553","-078.4574477","16830"
"42","033","331700","42033331700","3317",Census Tract 3317,G5020,S,"115510036","707211","+40.7918539","-078.3811108","16680"
"42","033","330800","42033330800","3308",Census Tract 3308,G5020,S,"233922662","1727904","+40.9995798","-078.1783231","16858"
"42","033","331600","42033331600","3316",Census Tract 3316,G5020,S,"195485728","1555085","+40.8444109","-078.4982667","16661"
"42","033","330500","42033330500","3305",Census Tract 3305,G5020,S,"344975789","1898889","+41.1276091","-078.6255026","15849"
"42","033","331900","42033331900","3319",Census Tract 3319,G5020,S,"229860145","1354370","+40.7864313","-078.7101530","15753"
"42","033","330700","42033330700","3307",Census Tract 3307,G5020,S,"518127295","3253616","+41.1534650","-078.2504353","16836"
"42","033","331000","42033331000","3310",Census Tract 3310,G5020,S,"194998346","2192711","+40.9835796","-078.3509746","16881"
"42","033","331800","42033331800","3318",Census Tract 3318,G5020,S,"96233892","658373","+40.7648540","-078.5246704","16656"
"42","035","030600","42035030600","306",Census Tract 306,G5020,S,"2167438","203823","+41.1343807","-077.4356521","17745"
"42","035","030800","42035030800","308",Census Tract 308,G5020,S,"172095677","586589","+41.0519423","-077.4533900","17751"
"42","035","030200","42035030200","302",Census Tract 302,G5020,S,"355731060","1843864","+41.1657177","-077.6811536","16822"
"42","035","030300","42035030300","303",Census Tract 303,G5020,S,"433356164","5823007","+41.2487398","-077.5332808","17745"
"42","035","030500","42035030500","305",Census Tract 305,G5020,S,"77178729","2604027","+41.1290415","-077.3637200","17747"
"42","035","030400","42035030400","304",Census Tract 304,G5020,S,"38592406","1305408","+41.1916438","-077.3346010","17740"
"42","035","030900","42035030900","309",Census Tract 309,G5020,S,"243769805","821250","+41.0494667","-077.2577272","17747"
"42","035","030100","42035030100","301",Census Tract 301,G5020,S,"972678846","9749508","+41.3426314","-077.8332241","17764"
"42","131","400600","42131400600","4006",Census Tract 4006,G5020,S,"95555034","3027159","+41.4886640","-075.9547903","18657"
"42","131","400500","42131400500","4005",Census Tract 4005,G5020,S,"87181026","2895971","+41.4877557","-075.8434621","18615"
"42","131","400200","42131400200","4002",Census Tract 4002,G5020,S,"374032857","5870928","+41.4771408","-076.1073988","18629"
"42","131","400700","42131400700","4007",Census Tract 4007,G5020,S,"180359046","747155","+41.4187615","-076.0179712","18643"
"42","131","400100","42131400100","4001",Census Tract 4001,G5020,S,"115737496","4468880","+41.6118855","-076.1153465","18623"
"42","131","400300","42131400300","4003",Census Tract 4003,G5020,S,"96077043","759783","+41.6026937","-075.8090866","18657"
"42","131","400400","42131400400","4004",Census Tract 4004,G5020,S,"80256155","2258681","+41.5528576","-075.9022638","18657"
"42","117","950500","42117950500","9505",Census Tract 9505,G5020,S,"417484973","451345","+41.7705593","-077.0045772","16917"
"42","095","018200","42095018200","182",Census Tract 182,G5020,S,"51403728","2059710","+40.8804059","-075.1047031","18343"
"42","067","070202","42067070202","702.02",Census Tract 702.02,G5020,S,"261276597","1457261","+40.5152813","-077.4689856","17082"
"42","077","001501","42077001501","15.01",Census Tract 15.01,G5020,S,"3527244","3766","+40.5772281","-075.4677318","18103"
"42","067","070201","42067070201","702.01",Census Tract 702.01,G5020,S,"269992270","1972","+40.3959852","-077.6325386","17021"
"42","095","015801","42095015801","158.01",Census Tract 158.01,G5020,S,"32036705","391717","+40.7769643","-075.3217535","18083"
"42","079","215400","42079215400","2154",Census Tract 2154,G5020,S,"95967982","603061","+41.0976620","-075.8368817","18661"
"42","079","210100","42079210100","2101",Census Tract 2101,G5020,S,"34738417","54389","+41.3065104","-075.7119832","18640"
"42","079","217002","42079217002","2170.02",Census Tract 2170.02,G5020,S,"8210486","57649","+40.9833952","-075.9939126","18202"
"42","079","201600","42079201600","2016",Census Tract 2016,G5020,S,"2563417","0","+41.2650931","-075.8407290","18705"
"42","079","215300","42079215300","2153",Census Tract 2153,G5020,S,"234875015","5348342","+41.1800428","-075.7367733","18702"
"42","079","216900","42079216900","2169",Census Tract 2169,G5020,S,"45119763","396244","+40.9734632","-075.9409371","18201"
"42","083","420300","42083420300","4203",Census Tract 4203,G5020,S,"1279639","20720","+41.9592677","-078.6542243","16701"
