ZCTA5CE10,AFFGEOID10,GEOID10,ALAND10,AWATER10,GEOID
"08608",8600000US08608,"08608","822456","176500","42017105702"
"19112",8600000US19112,"19112","4520883","3334796","42101980701"
"19112",8600000US19112,"19112","4520883","3334796","42101980905"
"19112",8600000US19112,"19112","4520883","3334796","42101989200"
"19112",8600000US19112,"19112","4520883","3334796","42101037300"
"18085",8600000US18085,"18085","1308927","39279","42095017101"
"18085",8600000US18085,"18085","1308927","39279","42095017404"
"18085",8600000US18085,"18085","1308927","39279","42095017000"
"17920",8600000US17920,"17920","11510673","76980","42107000100"
"17920",8600000US17920,"17920","11510673","76980","42107000901"
"17920",8600000US17920,"17920","11510673","76980","42037051500"
"17701",8600000US17701,"17701","231657057","3961799","42081011601"
"17701",8600000US17701,"17701","231657057","3961799","42081011302"
"17701",8600000US17701,"17701","231657057","3961799","42081011301"
"17701",8600000US17701,"17701","231657057","3961799","42081010502"
"17701",8600000US17701,"17701","231657057","3961799","42081011603"
"17701",8600000US17701,"17701","231657057","3961799","42081010501"
"17701",8600000US17701,"17701","231657057","3961799","42081000100"
"17701",8600000US17701,"17701","231657057","3961799","42081000300"
"17701",8600000US17701,"17701","231657057","3961799","42081000400"
"17701",8600000US17701,"17701","231657057","3961799","42081000500"
"17701",8600000US17701,"17701","231657057","3961799","42081000200"
"17701",8600000US17701,"17701","231657057","3961799","42081010300"
"17701",8600000US17701,"17701","231657057","3961799","42081011400"
"17701",8600000US17701,"17701","231657057","3961799","42081010400"
"17701",8600000US17701,"17701","231657057","3961799","42081010100"
"17701",8600000US17701,"17701","231657057","3961799","42081011200"
"17701",8600000US17701,"17701","231657057","3961799","42081001000"
"17701",8600000US17701,"17701","231657057","3961799","42113960201"
"17701",8600000US17701,"17701","231657057","3961799","42081011100"
"17701",8600000US17701,"17701","231657057","3961799","42081000600"
"17701",8600000US17701,"17701","231657057","3961799","42081000800"
"17701",8600000US17701,"17701","231657057","3961799","42081000900"
"17701",8600000US17701,"17701","231657057","3961799","42081010700"
"19611",8600000US19611,"19611","5242095","89070","42011011101"
"19611",8600000US19611,"19611","5242095","89070","42011011102"
"19611",8600000US19611,"19611","5242095","89070","42011001100"
"19611",8600000US19611,"19611","5242095","89070","42011002200"
"19611",8600000US19611,"19611","5242095","89070","42011002500"
"19611",8600000US19611,"19611","5242095","89070","42011002600"
"19611",8600000US19611,"19611","5242095","89070","42011002700"
"19611",8600000US19611,"19611","5242095","89070","42011011200"
"19611",8600000US19611,"19611","5242095","89070","42011002900"
"19611",8600000US19611,"19611","5242095","89070","42011011603"
"19511",8600000US19511,"19511","812715","4079","42011014102"
"19511",8600000US19511,"19511","812715","4079","42011013404"
"17832",8600000US17832,"17832","1011509","0","42097080900"
"17832",8600000US17832,"17832","1011509","0","42097082400"
"18058",8600000US18058,"18058","133772880","1414064","42095016001"
"18058",8600000US18058,"18058","133772880","1414064","42089301304"
"18058",8600000US18058,"18058","133772880","1414064","42089300315"
"18058",8600000US18058,"18058","133772880","1414064","42089301303"
"18058",8600000US18058,"18058","133772880","1414064","42025020801"
"18058",8600000US18058,"18058","133772880","1414064","42025020802"
"18058",8600000US18058,"18058","133772880","1414064","42025020108"
"18058",8600000US18058,"18058","133772880","1414064","42025020107"
"18058",8600000US18058,"18058","133772880","1414064","42089301203"
"18058",8600000US18058,"18058","133772880","1414064","42089301302"
"18058",8600000US18058,"18058","133772880","1414064","42095015902"
"18058",8600000US18058,"18058","133772880","1414064","42095016002"
"18058",8600000US18058,"18058","133772880","1414064","42095015901"
"18058",8600000US18058,"18058","133772880","1414064","42089301204"
"19122",8600000US19122,"19122","3287164","0","42101014600"
"19122",8600000US19122,"19122","3287164","0","42101015300"
"19122",8600000US19122,"19122","3287164","0","42101015600"
"19122",8600000US19122,"19122","3287164","0","42101015700"
"19122",8600000US19122,"19122","3287164","0","42101016100"
"19122",8600000US19122,"19122","3287164","0","42101016200"
"19122",8600000US19122,"19122","3287164","0","42101016500"
"19122",8600000US19122,"19122","3287164","0","42101016600"
"19122",8600000US19122,"19122","3287164","0","42101014201"
"19122",8600000US19122,"19122","3287164","0","42101014202"
"19122",8600000US19122,"19122","3287164","0","42101016702"
"19122",8600000US19122,"19122","3287164","0","42101014500"
"19122",8600000US19122,"19122","3287164","0","42101014100"
"19122",8600000US19122,"19122","3287164","0","42101037700"
"19122",8600000US19122,"19122","3287164","0","42101014400"
"19122",8600000US19122,"19122","3287164","0","42101014000"
"19435",8600000US19435,"19435","2010172","0","42091208304"
"19435",8600000US19435,"19435","2010172","0","42091208201"
"19435",8600000US19435,"19435","2010172","0","42091208301"
"19536",8600000US19536,"19536","1000948","1293","42011013701"
"19536",8600000US19536,"19536","1000948","1293","42011014102"
"18218",8600000US18218,"18218","5634254","0","42025020400"
"18218",8600000US18218,"18218","5634254","0","42025020302"
"18218",8600000US18218,"18218","5634254","0","42025020301"
"18218",8600000US18218,"18218","5634254","0","42107002700"
"18218",8600000US18218,"18218","5634254","0","42107002600"
"18218",8600000US18218,"18218","5634254","0","42107002800"
"18355",8600000US18355,"18355","18467342","136552","42089300321"
"18355",8600000US18355,"18355","18467342","136552","42089300316"
