zipcode,agi11,agi12,agi13,agi14,agi15,agi16,agi17,agi18,agi19,agi20
07001,57391.210848912044,57927.16692667707,59602.696374622356,62344.68796433878,65916.06695778748,66174.93613933236,71183.43864598025,75819.66390041493,77398.47162162162,78609.95394736843
07002,242076.90841672334,242984.2694552529,245214.15635074145,252220.4936061381,261097.98405253285,263701.27784770296,271568.345274861,282754.1147741148,296444.7404648391,311271.1312087281
07003,211063.88081431214,212862.95428571428,218167.31988705124,225584.5881647341,239212.21786833857,249910.82323619633,262403.45642374153,279919.7483246463,284181.30637346255,289120.0846097739
07004,51689.16154044973,55820.51295336788,58984.61675126904,68363.40506329114,64818.54683544304,69070.59600997507,74666.96287128713,82040.58048780488,87590.30071599045,87343.83135391925
07005,110867.81888445189,126771.86206896552,119216.69152970923,131897.89144316732,130901.26908635795,138119.97348484848,146839.34760705288,154269.2155172414,166882.10565110564,171717.19047619047
07006,248685.39777990736,279444.7521773555,298942.3536392405,315176.7047619048,324256.52578125,334324.70955011836,362877.34528448945,402276.31860465114,416253.00472069235,415617.01402961806
07008,84966.19973130318,86249.03989361702,86668.04024496938,89207.97471665214,92398.68474576272,93850.3075,96484.27495908347,99704.39445802772,101286.51096669375,106800.8068803753
07009,94677.78962017027,100303.23615635179,103735.91843393148,112377.44006568144,117137.86928104576,119971.48613376835,134727.09430894308,144023.39268680447,157412.22291021672,170928.63622754492
07010,98781.4022787029,100466.49651567945,101676.8632034632,105287.4948630137,112489.20677966102,111967.26919831223,119067.84647302904,128004.02112103981,132079.22719869707,129538.06542056074
07011,144154.12954592152,142802.00516795865,144367.0081466395,147351.4705,150491.16124260356,150981.3016983017,156023.2918918919,160212.72368421053,162903.98601061263,170928.25888324872
07012,67143.5419091052,67898.79782270607,71186.31124807397,74031.45482388974,76889.1029185868,76557.65797546013,80537.65098634294,83319.28635014837,88747.33136094674,88840.22727272728
07013,140410.4462215393,148273.91922005572,150194.99113233289,155952.2756497948,163486.43312966733,168093.51504787963,177575.77989130435,186609.67787491594,197233.3391655451,201244.27188940093
07014,29748.61278471712,30636.89781021898,31336.418181818182,32791.180147058825,34303.30215827338,31704.494545454545,33689.33802816901,35608.73591549296,36449.89473684211,35475.3275862069
07016,189886.1905953871,201124.19520851818,207675.22763507528,223733.45030782762,248332.97409326426,256192.4025751073,279336.83490162535,290675.18339100346,315055.99743370403,316890.1505466779
07017,123570.31565640993,121948.2875,122995.89454322502,124308.68325242719,127808.29951980793,129647.80695443646,134559.9179847686,140610.8300915332,146130.21702838063,153254.8126009693
07018,100085.92793481525,96107.34755134281,95268.90772870662,96160.08424336974,99026.35960214231,101273.98320610687,105918.08050221566,109406.42534595776,113366.49250535332,120520.46638946638
07020,94652.75458392102,108726.34736842105,114778.49739130435,131226.29493891797,151625.47993311036,154820.8401305057,178899.761682243,195137.44838212634,196362.01234567902,189047.32677760968
07021,100222.26684397164,119158.70370370371,120137.57798165138,115772.23148148147,126568.79090909091,130148.87272727273,169381.55963302753,161129.83177570094,168258.5046728972,167800.8785046729
07022,41260.87923515599,41376.45,41654.52096774193,42132.41428571429,43084.79905808477,43218.24437299035,43505.368589743586,43924.08199356913,44883.944532488116,46843.324712643676
07023,69526.99535962877,71849.09011627907,75825.23410404625,81911.68695652173,88561.33144475921,89268.42659279778,98090.86464088398,102734.57608695653,109839.625,109383.51098901099
07024,226573.95984046973,226015.59822910902,232360.78346028292,248638.73376977633,284091.6684520621,288127.3122028526,318771.0315898498,345054.80462724937,351786.5068493151,336484.0699195171
07026,114269.08414132023,111340.22041920216,111688.51313131313,112830.10292164674,114263.92465300727,116868.99017038007,120063.22272433828,124528.97172236504,125551.34005037784,131110.26174496644
07027,23525.762389380532,23941.27802690583,25325.16742081448,25720.504424778763,27639.403433476396,28269.598253275108,30324.581896551725,33674.1652173913,34515.47321428572,33663.20444444445
07028,148468.15045281916,157587.79824561405,170560.57817109145,188637.56647398844,199955.52906976745,226271.77126099708,267776.8839285714,289637.91788856307,304815.78978978976,348253.63063063065
07029,61764.6254463223,61140.29016786571,61145.908004778976,62264.3125,66054.3492063492,71543.12144420132,78411.64576802508,88714.41782178218,95354.71290944124,95214.41278538812
07030,564765.000106417,592550.8581081082,650235.373244382,804534.5251017639,898534.0869858395,904399.2413080895,1013751.992109777,1171354.71418709,1173438.5438034188,1235784.539073806
07031,74382.24865394029,77524.66585067319,78254.86642156863,81367.54447115384,84826.77142857143,86016.52173913043,89909.36298932384,94463,97194.04744958482,96512.27240977882
07032,139324.5634139712,139194.13967391304,140371.2814178303,141493.62131762184,146924.53518907563,147196.54766949153,153356.26472120895,158599.37884314748,164848.52160493826,167700.36712598425
07033,38027.53055214724,39095.443645083935,40346.42067307692,42929.20574162679,44602.638554216865,46518.846889952154,47253.54285714286,51946.657276995305,55583.89767441861,53220.25740318907
07034,45655.16750313676,46287.19957983193,46048.590436590435,48989.333333333336,49834.897959183676,51377.24532224532,54742.707566462166,57340.39263803681,57400.85300207039,57229.30971659919
07035,61442.887004608296,61032.25138632163,64628.476979742176,64160.78453038674,67244.61330935251,67139.75636363636,75846.90710382514,75681.81261261262,78301.26173285198,78609.11816578484
07036,167660.72937079173,168271.9012517385,170937.52119815667,173980.9749430524,180032.66411870503,182719.72532380527,190736.16834280718,198282.47822299652,203851.19709897612,211687.4499792445
07039,542036.6984754782,817315.8465949821,588581.159597412,892318.2284482758,706792.1695156695,809796.3300071276,850240.7042747021,961022.376396648,1011181.4234800838,1020681.8610335195
07040,203273.29434647303,220075.23920552677,229928.96058269066,260581.48571428572,275594.0034305317,289530.1315115286,318819.6680497925,371479.9917287014,393079.91791044775,389826.7089241034
07041,83910.99213313161,107064.3036809816,90809.57566765578,100809.15634218289,112321.42388059701,122976.63963963964,136210.31343283583,152876.70414201185,166933.0357142857,175810.06886227545
07042,218856.692096639,227191.5606060606,242663.23041825095,268027.4157894737,312413.9412202381,298457.35382308846,348140.0769811321,356824.3657992565,364372.4186746988,375189.89642324887
07043,287766.11866833724,345058.2410714286,343715.426056338,387344.92998204665,424510.75224416517,407443.67741935485,559306.1,521857.9066427289,608122.5323741008,556983.2307692308
07044,114954.02070663191,126378.73054755043,134473.2621082621,141878.55035460994,153927.61965811966,161575.2564102564,178569.6411347518,202582.10167130918,215961.28111888113,210354.86075949366
07045,128991.29247692006,131629.6994219653,135882.8304431599,156743.74903474902,176492.53053435116,174148.36973180078,184518.6106870229,191182.86011342154,200221.31766917295,208797.63805970148
07046,186270.80213333335,230351.08465608465,215698.41884816755,221460.39583333334,236899.93467336684,277115.58291457285,294546.112244898,312781.94329896907,268121.10101010103,265513.545
07047,206322.15263046246,206457.0850840336,207151.09752699407,212098.97571819424,215971.9731201089,217044.99794520548,222264.8896411645,229098.52728490124,233369.47429906542,238424.92032
07050,106931.80524590163,104818.33333333333,108169.30579096045,106185.06316536551,108952.65555555555,110700.65171688858,113373.8896504455,115632.06130790191,119621.08657718121,125039.37911392405
07052,287779.55955400085,301073.7966695881,307918.65324675327,325715.23887688987,349810.39514066494,352080.8642979452,375478.2660161222,395706.1190173655,408735.5463352991,407847.9709016393
07054,160739.61068913134,166453.81478921906,170228.57873210634,178974.686827957,188527.32128514056,189067.1750339213,202563.62872628725,226180.6266756032,231844.77434519812,231706.67489986648
07055,235610.9190188505,224689.70590230665,224517.37470328924,224166.18570947085,230230.8606502986,228801.54732233076,230617.04005340455,232453.5094022834,236644.63215348992,248541.18532338308
07057,45854.02752139621,45457.19725557461,46189.03559322034,47481.963087248325,48225.983050847455,49310.91694915254,51591.09618573797,53026.442244224425,54565.735537190085,57240.17580645161
07058,51687.43731563422,60213.773234200744,60291.97445255474,63621.08214285714,66380.5376344086,68610.46350364963,77914.90287769784,81174.07011070111,91844.28260869565,77052.47482014388
07059,332290.9130491976,390313.78873239434,394180.3705583756,435405.9680715198,465340.25284450065,475393.24030037544,495266.49129353237,530939.0819875776,598062.9028642591,603602.0949445129
07060,161510.4327230591,158528.52510363888,157200.29953271028,157585.85211267605,161648.11593533488,158809.64087870106,161765.16295594504,165189.12909349788,168271.5738317757,178145.892074199
07062,50835.67952431773,51396.282127031016,51132.19321533923,51651.67057101025,52680.58686131387,53241.62008733625,55327.72883787662,56384.96413199426,58795.41446453408,62093.30039525692
07063,47729.38051968755,47434.82704402516,47307.047770700636,47356.34285714286,48801.57076205288,49818.6484375,50498.67542503864,52079.07902735562,54463.27433628318,57833.8659370725
07064,18190.065455992517,17642.80412371134,17768.329842931937,17817.848958333332,18119.678571428572,18528.212871287127,20166.941463414634,20538.593137254902,21373.35849056604,21751.546296296296
07065,117897.93702520411,118258.22759601707,120842.17667597765,125380.19073946096,129463.22837837838,131524.09330628804,138761.0553724456,146823.92272429602,150552.77627337203,154708.18076688983
07066,94349.20872964169,100391.35301668807,106521.59924623116,113400.37078651685,119325.97794117648,126482.66300366301,135617.1903030303,142432.2027027027,150135.00853658537,161063.88848039217
07067,108138.74819584767,110859.51481888036,114840.98367791077,120717.99891774892,127026.92060085837,130567.62579957357,139487.6948257656,148513.01875,149219.0870933893,152595.1670103093
07068,67893.4483627204,73793.66149068323,72751.96284829722,79096.5758513932,90139.93195266272,87950.64285714286,104994.58720930232,101157.2899408284,102093.75221238939,108258.08875739644
07069,107544.63497340426,127330.29836065574,131901.8481848185,157866.62751677854,159917.54666666666,152663.900990099,166515.49025974027,187494.875,187669.71382636655,197400.43689320388
07070,111602.34020731042,116761.68496158069,119930.20177383591,128249.33296582139,131617.02527472528,140828.94335511982,150080.0248917749,159002.89118607182,172521.75929978117,166680.37945945945
07071,96105.07614310311,99466.06704438149,102067.85927306618,108159.18190212373,112658.79166666667,112379.97839783979,117647.57927369354,123315.22038327526,127576.78988666086,128147.6641221374
07072,28808.24244293646,28188.918495297807,28668.890282131662,29411.17405063291,31158.53560371517,31933.068535825547,33298.92283950617,34370.41717791411,35648.65957446808,36964.920118343194
07073,42083.378831221904,41914.84778012685,43519.152400835075,46571.17107942973,51549.509842519685,50679.750988142296,51985.2754491018,54962.81027667984,56728.7553816047,56688.977229601514
07074,12086.311730395333,11585.30612244898,12159.85430463576,12649.546666666667,12619.64935064935,12562.78947368421,12628.177215189873,13203.688311688311,13300.593548387096,13520.422360248447
07075,50213.07929944053,52290.60756501182,55269.047281323874,60161.50228310502,66480.93275488069,72220.36713995943,81668.27308447937,90961.59295499022,93719.01747572815,93941.04624277457
07076,218977.53615490062,235297.33873720135,250280.76425531914,274120.9599317988,286313.92307692306,302411.58070025616,332065.14789915964,367257.4163162321,374212.32575757575,377024.81749369216
07077,13569.357908847185,14974.916083916083,13770.055944055945,14354.401408450703,14744.31724137931,14458.457746478873,15180.376712328767,16169.021126760563,15619.108108108108,15683.21476510067
07078,1461777.5177740864,1676381.1396933561,1849943.7925170069,2310677.7743589743,1628547.1801346801,2093156.2344827587,2343326.1305841925,1795701.643717728,2341060.135135135,2841117.686971235
07079,191051.12835940634,209351.04545454544,218088.93818681317,244012.80303030304,273366.0689655172,289925.53469387756,328187.6621621622,356114.9489247312,371664.52412868635,386527.33152173914
07080,118170.10902094912,122101.50042771599,124071.23837700761,129355.60759493671,137115.56176961603,138973.24333333335,146858.4625407166,157845.53902439025,165869.00402252615,164241.57616416732
07081,115453.51218335344,128797.27520759193,131779.53864168617,141689.90526315788,151674.74335260116,152569.02105263158,164397.91734575087,185392.71577726217,184877.3306169965,180445.2528473804
07082,67897.48394160584,73760.64516129032,80499.93950177936,88964.4857142857,89559.21527777778,88734.6456140351,101452.84775086505,98506.03135888501,105172.13240418119,120579.95847750866
07083,258963.67269816448,265280.48353681096,273339.64610866376,277256.581625183,290788.0075949367,296754.5514152633,312262.57937632885,327337.0375438596,334340.59024896263,341923.8149898717
07086,68778.51501457726,73215.31286549708,80413.51223021583,96172.77353342429,115597.01399491094,119308.90637191158,128968.72774193548,159488.45777233783,178087.78528347408,185555.90218642118
07087,228045.18456002616,228736.79437160218,227495.79788597053,226899.5913909412,231131.6540880503,231752.83479899497,233115.38766519824,234929.5386541471,238190.5702711125,250076.22583505764
07088,14155.473410101094,13902.409638554216,13991.883720930233,14000.170588235294,14289.942196531792,14770.210227272728,15155.604395604396,15821.478021978022,16447.743169398906,16318.731578947369
07090,625306.3750736594,715380.0435729848,734783.981765135,869614.5410312273,878899.4981844589,938476.7390350878,1041725.4087272728,1155785.2290462428,1219254.5323741008,1236694.7910014514
