zip_code,avg_zhvi_2000,avg_zhvi_2001,avg_zhvi_2002,avg_zhvi_2003,avg_zhvi_2004,avg_zhvi_2005,avg_zhvi_2006,avg_zhvi_2007,avg_zhvi_2008,avg_zhvi_2009,avg_zhvi_2010,avg_zhvi_2011,avg_zhvi_2012,avg_zhvi_2013,avg_zhvi_2014,avg_zhvi_2015,avg_zhvi_2016,avg_zhvi_2017,avg_zhvi_2018,avg_zhvi_2019,avg_zhvi_2020,avg_zhvi_2021,avg_zhvi_2022,avg_zhvi_2023
07001,154168.54799166668,172992.02046666667,194950.924125,228730.957375,255503.67295,296721.5184666667,332074.8629,327454.059975,305138.20735833334,275954.52571666666,265697.8449916667,245800.50409166666,228271.41545833333,230933.60649166667,245036.75901666668,254105.76513333333,265228.31275,273506.7843666667,288246.99289166665,303702.45924166666,323922.49761666666,352374.6181833333,385670.49519166665,400858.57964
07002,147829.015875,164801.41209166666,195282.936375,225402.41331666667,261073.44695833334,313787.962775,361871.4973583333,363518.72517499997,320715.3790166667,270549.4128,256199.41290833332,238739.24109999998,234043.85129166668,239827.05923333333,249911.399975,253543.39909999998,268751.02739166666,290030.62980833335,322873.63615,353542.10455,388223.737625,433958.8000916667,468920.26012500003,479955.9466
07003,153551.08073333334,173719.881725,200194.53003333334,234921.47789166667,265278.8821583333,309218.00368333334,342242.9027583333,342464.71925,324166.17270833335,287366.79264166666,274413.4263583333,258172.10098333334,245874.15005,253313.94629166665,274003.32221666665,283074.31711666664,295234.41201666667,310417.453825,326648.96585833334,348954.4725833333,386834.93725,443460.6934333333,470582.55254166666,477504.9152
07004,268183.45193333336,300212.5109583333,340162.3498833333,379897.29041666666,418756.6767,482488.543525,519675.0777833333,516617.5305333333,492984.8991833333,474635.30186666665,458017.0888166667,443124.8187333333,408125.638325,401600.1388166667,433854.67051666667,448643.5725416667,463102.8610833333,484385.629325,505085.50916666666,510416.8936,535073.556375,604349.4061,641297.1633416667,647709.10692
07005,254556.71531666667,282882.1799333333,313565.2347833333,357070.4328416667,400521.12464166665,446339.4856166667,483135.57163333334,477355.3892583333,444767.47891666665,425867.2616833333,416310.4823583333,397273.3179416667,384993.97795,391655.0475666667,411251.781,419824.6746083333,429576.16281666665,433444.12945,446877.3577,456961.925825,472261.04420833336,517030.63435,553948.202175,565414.7866999999
07006,287401.5198416667,321748.177575,357997.988625,401308.297475,440671.083575,507636.6157,556573.9214333333,549897.2492833333,516244.7886916667,483287.9644583333,469453.170925,450700.03415,439467.32185833337,456950.16031666665,495682.73445833335,510786.9611,518380.0523,526189.77865,536891.0158416666,536801.410225,554603.4568416667,617147.7295666666,668480.1364416666,680328.61478
07008,141291.0528,158401.547475,180530.89298333332,211916.439975,238114.790825,275402.6678666667,309395.115425,308147.1825,282848.6427916667,248882.9242,233566.28235833332,211226.48411666666,202885.84326666666,215742.41408333334,228610.73000833334,236386.83661666667,249639.12497499998,262844.35540833336,280945.3971083333,305580.083825,344779.5608833333,386918.311625,420416.12335833337,435099.30528
07009,251183.51159166667,277350.303525,314016.6407,359596.3552666667,398797.7015916667,453123.190725,492653.05750833335,491917.534275,468103.62055833335,430779.56745,427609.086425,420502.9887,404983.9750833333,409454.6120833333,441979.47254166665,456657.5675416667,458469.07468333334,470839.2676083333,489689.525625,498702.879875,512101.74661666667,569529.0728083333,604743.6187,617341.15408
07010,218471.7389,243538.777875,276268.69391666667,316922.2550416667,359522.2395583333,417709.05735,458713.67325833335,455285.05929166666,427342.35835,368485.86970833334,349407.561675,333421.12045833335,349483.0931416667,363121.3279833333,376928.01056666666,381571.5651416667,393069.3675333333,409553.251025,432716.6803333333,447502.66170833335,466683.286275,505796.182175,537406.0506416666,543802.20626
07011,164221.70615833334,180508.898175,203719.10728333335,240558.87546666668,274310.98910833336,314210.477925,353485.21286666667,358332.56205,326086.06686666666,283449.9199583333,271183.7764833333,251083.11744166666,235489.83506666668,242850.87575833334,256612.53835,269192.58335833333,285449.68564166664,299766.7314583333,325315.55155,347837.3164083333,373674.346025,421358.79494166665,447514.84951666667,455354.49914
