zip_code,total_pop_2011,total_pop_2012,total_pop_2013,total_pop_2014,total_pop_2015,total_pop_2016,total_pop_2017,total_pop_2018,total_pop_2019,total_pop_2020,total_pop_2021,housing_units_2011,housing_units_2012,housing_units_2013,housing_units_2014,housing_units_2015,housing_units_2016,housing_units_2017,housing_units_2018,housing_units_2019,housing_units_2020,housing_units_2021
07001,17639,17392,17596,17952,18793,18822,18846,18831,18592,18009,18112,5442,5397,5459,5334,5352,5404,5496,5455,5579,5610,5821
07002,52613,53263,53561,54593,55119,55052,56013,54415,53985,65112,70553,22842,23134,22912,22659,22679,22747,22848,22584,22621,27237,29143
07003,41545,41857,41923,42235,42279,42647,43253,43443,43600,43593,46317,17466,17586,17046,16573,16668,16747,16710,17268,17776,17727,18615
07004,7444,7454,7491,7475,7556,7531,7671,7400,7486,7563,7751,2574,2653,2705,2735,2749,2787,2840,2940,2818,2950,3020
07005,22405,22250,22144,22391,22652,22794,22916,22768,22717,21737,22711,9431,9405,9378,9355,9542,9534,9573,9464,9615,9232,9510
07006,24817,24873,24945,25174,25253,25331,25601,25435,25442,25482,26403,9769,9724,9680,9826,9712,9735,10020,10007,9941,9995,10134
07008,7192,7185,7322,7327,7245,7035,7095,7027,7046,23501,25077,2647,2553,2606,2538,2503,2523,2534,2540,2484,8456,8732
07009,12346,12432,12450,12499,12529,12545,12638,12531,12516,12593,13073,4617,4469,4368,4345,4396,4517,4603,4578,4642,4628,4872
07010,9451,9252,9671,9773,9338,9489,9422,9376,9395,25410,25515,4584,4482,4517,4701,4585,4603,4679,4667,4570,11444,11198
07011,34404,35825,36672,37715,38062,37653,37622,35993,35716,35200,36638,12180,12377,12389,12395,12691,12960,12912,12748,12687,12710,13202
07012,4618,4547,4465,4370,4249,4407,4378,4451,4387,8204,8877,1926,1904,1817,1778,1804,1815,1811,1775,1748,2761,2939
07013,18515,18167,18036,18196,17999,18098,18309,18113,17985,30998,32987,7704,7725,7653,7664,7762,7735,7719,7661,7565,11876,12697
07014,8105,7958,8004,7585,7599,7403,7456,7607,7805,6885,7084,2811,2761,2710,2653,2693,2696,2682,2686,2672,2514,2669
07016,22499,22659,22846,23150,23328,23531,23972,23882,24014,24036,23823,8532,8602,8691,8726,8742,8883,8942,9057,9226,9381,9265
07017,40454,40070,39940,40315,41236,40944,41655,40756,41797,41939,44555,18219,18296,18422,18513,18518,18122,17534,17089,16906,17476,18218
07018,33383,33216,33107,32633,31583,31543,31580,31703,31216,32025,34420,14811,14845,14945,15159,14965,14562,14309,14170,14051,14123,14787
07020,5599,5503,5713,5614,5406,5472,5747,5515,5479,12890,14234,2811,2817,2760,2707,2537,2475,2489,2564,2441,6479,7438
07021,2072,2125,2115,2140,2153,2164,2095,2205,2110,2037,2270,742,754,777,774,806,829,833,853,851,791,808
07022,6842,6764,7004,7646,7412,7092,7204,6844,6565,14218,14918,2478,2464,2548,2700,2787,2761,2796,2709,2609,5588,6369
07023,7686,7686,7686,7686,7686,7686,7686,7686,7686,7686,7727,2658,2658,2658,2658,2658,2658,2658,2658,2658,2658,2724
07024,35274,35420,35617,36048,36251,36607,37058,36990,37430,37843,39701,18031,18218,18369,18283,18103,18206,18209,18529,19014,18768,19591
07026,23767,24169,24122,24265,24552,24587,24836,24844,25056,31722,32481,9506,9236,9158,8923,9112,9214,9439,9446,9615,12336,12440
07027,4202,4295,4239,4323,4306,4315,4365,4334,4338,4341,4425,1754,1754,1770,1798,1776,1858,1880,1835,1785,1820,1824
07028,7474,7520,7561,7606,7607,7615,7668,7573,7584,7583,7764,2347,2483,2449,2477,2505,2561,2544,2502,2501,2443,2455
07029,16010,15980,16496,16987,17206,17724,18623,18845,19857,20947,21845,5942,6022,6203,6319,6340,6582,6733,6992,7614,8677,9371
07030,35087,35280,36145,36793,37086,37462,38052,37187,36171,48621,53731,18532,18742,18790,18872,18951,19280,19115,19211,19190,25400,27996
07031,15340,15407,15492,15587,15734,15788,15877,15724,15677,15681,16339,6509,6399,6459,6350,6296,6256,6218,6435,6653,6597,6975
07032,44272,44700,45341,45821,46276,46286,46520,45357,45280,45158,46447,15862,15913,16000,16131,16361,16139,16061,16163,15988,16012,16770
07033,7852,7907,7977,8045,8104,8129,8235,8160,8161,8182,8377,2800,2776,2655,2724,2687,2761,2910,2989,2875,2892,2931
07034,14291,14034,14390,14413,14462,14264,13998,13626,13850,14052,14991,5550,5585,5549,5575,5607,5552,5496,5451,5416,5980,6366
07035,10593,10553,10535,10515,10478,10488,10464,10339,10262,10220,10877,4297,4317,4382,4173,4026,4022,3875,3735,3892,4077,4268
07036,41598,41851,42231,42527,42894,43140,43755,43607,43845,43908,44931,16369,16655,16539,16382,16351,16228,16379,16413,16621,16495,17185
07039,29023,29251,29420,29617,29674,29691,29955,29698,29846,30059,31103,9898,9872,9960,9920,10130,10203,10426,10446,10611,10620,10835
07040,23774,23897,24021,24233,24303,24414,24706,24596,24784,25135,25420,8178,8221,8524,8700,8741,8963,8907,8583,8340,8539,8616
