zip_code,year,arrests
00083,2011,890
00083,2012,859
00083,2013,752
00083,2014,665
00083,2015,632
00083,2016,462
00083,2017,379
00083,2018,252
00083,2019,241
00083,2020,125
00083,2021,154
00083,2022,241
10001,2011,7483
10001,2012,6838
10001,2013,7426
10001,2014,6920
10001,2015,6241
10001,2016,4749
10001,2017,4040
10001,2018,3788
10001,2019,3035
10001,2020,1529
10001,2021,2151
10001,2022,3495
10002,2011,5203
10002,2012,5454
10002,2013,5415
10002,2014,4845
10002,2015,4625
10002,2016,3829
10002,2017,3575
10002,2018,2882
10002,2019,2587
10002,2020,1506
10002,2021,1887
10002,2022,2361
10003,2011,5019
10003,2012,4318
10003,2013,3671
10003,2014,3278
10003,2015,3299
10003,2016,2765
10003,2017,2557
10003,2018,2230
10003,2019,1804
10003,2020,1168
10003,2021,1304
10003,2022,1631
10004,2011,615
10004,2012,642
10004,2013,428
10004,2014,311
10004,2015,385
10004,2016,433
10004,2017,430
10004,2018,223
10004,2019,158
10004,2020,49
10004,2021,72
10004,2022,60
10005,2011,211
10005,2012,222
10005,2013,103
10005,2014,124
10005,2015,110
10005,2016,70
10005,2017,86
10005,2018,72
10005,2019,93
10005,2020,43
10005,2021,62
10005,2022,99
10006,2011,344
10006,2012,371
10006,2013,143
10006,2014,206
10006,2015,93
10006,2016,127
10006,2017,61
10006,2018,80
10006,2019,152
10006,2020,53
10006,2021,39
10006,2022,68
10007,2011,2020
10007,2012,1603
10007,2013,1508
10007,2014,1440
10007,2015,1350
10007,2016,1381
10007,2017,1166
10007,2018,1190
10007,2019,1133
10007,2020,663
10007,2021,497
10007,2022,743
10009,2011,2306
10009,2012,2287
10009,2013,2077
10009,2014,2036
10009,2015,1985
10009,2016,1865
10009,2017,1511
10009,2018,1122
10009,2019,924
10009,2020,588
10009,2021,879
10009,2022,980
10010,2011,1393
10010,2012,1776
10010,2013,2409
10010,2014,2526
10010,2015,2598
10010,2016,1997
10010,2017,1768
10010,2018,1422
10010,2019,1339
10010,2020,965
10010,2021,1001
10010,2022,1256
10011,2011,3033
10011,2012,3144
10011,2013,3839
10011,2014,3715
10011,2015,3843
10011,2016,3226
10011,2017,2721
10011,2018,2097
10011,2019,1859
10011,2020,1278
10011,2021,1434
10011,2022,1590
10012,2011,2318
10012,2012,2280
10012,2013,2040
10012,2014,1920
10012,2015,1590
10012,2016,1475
10012,2017,1315
10012,2018,1014
10012,2019,670
10012,2020,565
10012,2021,395
