arrest_precinct,year,count
1,2011,5583
5,2011,5791
6,2011,4643
7,2011,3917
9,2011,4364
10,2011,3072
13,2011,6006
14,2011,13682
17,2011,1999
18,2011,5687
19,2011,3165
20,2011,2194
22,2011,682
23,2011,6241
24,2011,2896
25,2011,8940
26,2011,3324
28,2011,5742
30,2011,4514
32,2011,6823
33,2011,5704
34,2011,5957
40,2011,10753
41,2011,8007
42,2011,7209
43,2011,12381
44,2011,15078
45,2011,3406
46,2011,9686
47,2011,6880
48,2011,6731
49,2011,3519
50,2011,2538
52,2011,10690
60,2011,4562
61,2011,3194
62,2011,2471
63,2011,2443
66,2011,1651
67,2011,6598
68,2011,2313
69,2011,3158
70,2011,5600
71,2011,5724
72,2011,3631
73,2011,14326
75,2011,15748
76,2011,1838
77,2011,6957
78,2011,1494
79,2011,7767
81,2011,5918
83,2011,7737
84,2011,5220
88,2011,3092
90,2011,4686
94,2011,1637
100,2011,2072
101,2011,3568
102,2011,3925
103,2011,8422
104,2011,4818
105,2011,4595
106,2011,3728
107,2011,3101
108,2011,2872
109,2011,5652
110,2011,6076
111,2011,1805
112,2011,2551
113,2011,7164
114,2011,5565
115,2011,7351
120,2011,8601
122,2011,3940
123,2011,1484
1,2012,5479
5,2012,5960
6,2012,4174
7,2012,4124
9,2012,4367
10,2012,2895
13,2012,5628
14,2012,13328
17,2012,2067
18,2012,5278
19,2012,3410
20,2012,2030
22,2012,586
23,2012,5696
24,2012,3194
25,2012,9392
26,2012,3574
28,2012,5977
30,2012,4506
32,2012,6102
33,2012,5114
34,2012,5998
40,2012,11319
41,2012,7388
42,2012,6354
43,2012,10433
44,2012,13322
45,2012,3167
46,2012,8811
47,2012,6601
48,2012,6729
49,2012,3922
50,2012,2170
52,2012,9747
60,2012,4142
61,2012,3314
62,2012,2476
63,2012,2499
66,2012,1769
67,2012,7327
68,2012,2067
69,2012,3237
70,2012,5108
71,2012,5012
72,2012,3555
73,2012,12752
75,2012,15232
76,2012,2227
77,2012,6232
78,2012,1803
79,2012,7795
81,2012,5775
83,2012,7213
84,2012,4428
88,2012,3399
90,2012,4144
94,2012,1816
100,2012,1875
101,2012,3342
102,2012,3926
103,2012,8607
104,2012,4561
105,2012,4486
106,2012,3952
107,2012,3115
108,2012,2264
109,2012,5313
110,2012,5675
111,2012,1671
112,2012,2647
113,2012,7612
114,2012,5431
115,2012,6620
120,2012,7850
122,2012,3805
123,2012,1364
1,2013,4778
5,2013,6121
6,2013,4499
7,2013,3818
9,2013,4037
10,2013,3634
13,2013,5762
14,2013,14377
17,2013,2092
18,2013,5619
19,2013,3154
20,2013,2109
22,2013,463
23,2013,5700
24,2013,2974
25,2013,9822
26,2013,3610
28,2013,5891
30,2013,4799
32,2013,5580
33,2013,5450
34,2013,5392
40,2013,11296
41,2013,7224
42,2013,6322
43,2013,8127
44,2013,12494
45,2013,2824
46,2013,7853
47,2013,6659
48,2013,7175
49,2013,4448
50,2013,2078
52,2013,9357
60,2013,4392
61,2013,3329
62,2013,2384
63,2013,2339
66,2013,1871
67,2013,6993
68,2013,2293
69,2013,3112
70,2013,5153
71,2013,4921
72,2013,3550
73,2013,11018
75,2013,14713
76,2013,1839
77,2013,6243
78,2013,2302
79,2013,7802
81,2013,5339
83,2013,6398
84,2013,4298
88,2013,2686
90,2013,4573
94,2013,2023
100,2013,1859
101,2013,3394
102,2013,4502
103,2013,9763
104,2013,4421
105,2013,5080
106,2013,4403
107,2013,3309
108,2013,2970
109,2013,5326
110,2013,5865
111,2013,1673
112,2013,2688
113,2013,8041
114,2013,5772
115,2013,6913
120,2013,5989
121,2013,2207
