zip,year,class,count
10001,2011-01-01T00:00:00Z,A,46
10001,2011-01-01T00:00:00Z,B,114
10001,2011-01-01T00:00:00Z,C,17
10002,2011-01-01T00:00:00Z,A,214
10002,2011-01-01T00:00:00Z,B,618
10002,2011-01-01T00:00:00Z,C,156
10003,2011-01-01T00:00:00Z,A,196
10003,2011-01-01T00:00:00Z,B,501
10003,2011-01-01T00:00:00Z,C,65
10004,2011-01-01T00:00:00Z,B,5
10005,2011-01-01T00:00:00Z,B,5
10006,2011-01-01T00:00:00Z,A,4
10006,2011-01-01T00:00:00Z,B,9
10006,2011-01-01T00:00:00Z,C,1
10007,2011-01-01T00:00:00Z,A,12
10007,2011-01-01T00:00:00Z,B,19
10007,2011-01-01T00:00:00Z,C,5
10009,2011-01-01T00:00:00Z,A,242
10009,2011-01-01T00:00:00Z,B,699
10009,2011-01-01T00:00:00Z,C,76
10010,2011-01-01T00:00:00Z,A,28
10010,2011-01-01T00:00:00Z,B,95
10010,2011-01-01T00:00:00Z,C,8
10011,2011-01-01T00:00:00Z,A,170
10011,2011-01-01T00:00:00Z,B,421
10011,2011-01-01T00:00:00Z,C,60
10012,2011-01-01T00:00:00Z,A,65
10012,2011-01-01T00:00:00Z,B,218
10012,2011-01-01T00:00:00Z,C,69
10013,2011-01-01T00:00:00Z,A,84
10013,2011-01-01T00:00:00Z,B,204
10013,2011-01-01T00:00:00Z,C,46
10014,2011-01-01T00:00:00Z,A,110
10014,2011-01-01T00:00:00Z,B,296
10014,2011-01-01T00:00:00Z,C,55
10016,2011-01-01T00:00:00Z,A,116
10016,2011-01-01T00:00:00Z,B,296
10016,2011-01-01T00:00:00Z,C,64
10017,2011-01-01T00:00:00Z,A,17
10017,2011-01-01T00:00:00Z,B,50
10017,2011-01-01T00:00:00Z,C,5
10018,2011-01-01T00:00:00Z,A,26
10018,2011-01-01T00:00:00Z,B,51
10018,2011-01-01T00:00:00Z,C,8
10019,2011-01-01T00:00:00Z,A,144
10019,2011-01-01T00:00:00Z,B,403
10019,2011-01-01T00:00:00Z,C,78
10021,2011-01-01T00:00:00Z,A,61
10021,2011-01-01T00:00:00Z,B,237
10021,2011-01-01T00:00:00Z,C,37
10022,2011-01-01T00:00:00Z,A,54
10022,2011-01-01T00:00:00Z,B,145
10022,2011-01-01T00:00:00Z,C,12
10023,2011-01-01T00:00:00Z,A,78
10023,2011-01-01T00:00:00Z,B,182
10023,2011-01-01T00:00:00Z,C,44
10024,2011-01-01T00:00:00Z,A,184
10024,2011-01-01T00:00:00Z,B,457
10024,2011-01-01T00:00:00Z,C,65
10025,2011-01-01T00:00:00Z,A,223
10025,2011-01-01T00:00:00Z,B,698
10025,2011-01-01T00:00:00Z,C,97
10026,2011-01-01T00:00:00Z,A,307
10026,2011-01-01T00:00:00Z,B,879
10026,2011-01-01T00:00:00Z,C,177
10027,2011-01-01T00:00:00Z,A,393
10027,2011-01-01T00:00:00Z,B,1347
10027,2011-01-01T00:00:00Z,C,259
10028,2011-01-01T00:00:00Z,A,151
10028,2011-01-01T00:00:00Z,B,258
10028,2011-01-01T00:00:00Z,C,44
10029,2011-01-01T00:00:00Z,A,357
10029,2011-01-01T00:00:00Z,B,1166
10029,2011-01-01T00:00:00Z,C,200
10030,2011-01-01T00:00:00Z,A,419
10030,2011-01-01T00:00:00Z,B,1134
10030,2011-01-01T00:00:00Z,C,253
10031,2011-01-01T00:00:00Z,A,1081
10031,2011-01-01T00:00:00Z,B,3077
10031,2011-01-01T00:00:00Z,C,724
10032,2011-01-01T00:00:00Z,A,912
10032,2011-01-01T00:00:00Z,B,2504
10032,2011-01-01T00:00:00Z,C,663
10033,2011-01-01T00:00:00Z,A,652
10033,2011-01-01T00:00:00Z,B,1900
10033,2011-01-01T00:00:00Z,C,540
10034,2011-01-01T00:00:00Z,A,406
10034,2011-01-01T00:00:00Z,B,1352
10034,2011-01-01T00:00:00Z,C,304
10035,2011-01-01T00:00:00Z,A,246
10035,2011-01-01T00:00:00Z,B,835
10035,2011-01-01T00:00:00Z,C,172
10036,2011-01-01T00:00:00Z,A,135
10036,2011-01-01T00:00:00Z,B,359
10036,2011-01-01T00:00:00Z,C,59
10037,2011-01-01T00:00:00Z,A,159
10037,2011-01-01T00:00:00Z,B,404
10037,2011-01-01T00:00:00Z,C,53
10038,2011-01-01T00:00:00Z,A,25
10038,2011-01-01T00:00:00Z,B,41
10038,2011-01-01T00:00:00Z,C,15
10039,2011-01-01T00:00:00Z,A,218
10039,2011-01-01T00:00:00Z,B,693
10039,2011-01-01T00:00:00Z,C,166
10040,2011-01-01T00:00:00Z,A,746
10040,2011-01-01T00:00:00Z,B,1810
10040,2011-01-01T00:00:00Z,C,555
10044,2011-01-01T00:00:00Z,A,4
10044,2011-01-01T00:00:00Z,B,14
10065,2011-01-01T00:00:00Z,A,46
10065,2011-01-01T00:00:00Z,B,150
10065,2011-01-01T00:00:00Z,C,25
10075,2011-01-01T00:00:00Z,A,26
10075,2011-01-01T00:00:00Z,B,81
10075,2011-01-01T00:00:00Z,C,23
10128,2011-01-01T00:00:00Z,A,97
10128,2011-01-01T00:00:00Z,B,282
10128,2011-01-01T00:00:00Z,C,53
10282,2011-01-01T00:00:00Z,A,1
10282,2011-01-01T00:00:00Z,B,1
10301,2011-01-01T00:00:00Z,A,125
10301,2011-01-01T00:00:00Z,B,933
10301,2011-01-01T00:00:00Z,C,132
10302,2011-01-01T00:00:00Z,A,91
10302,2011-01-01T00:00:00Z,B,428
10302,2011-01-01T00:00:00Z,C,80
10303,2011-01-01T00:00:00Z,A,47
10303,2011-01-01T00:00:00Z,B,345
10303,2011-01-01T00:00:00Z,C,47
10304,2011-01-01T00:00:00Z,A,121
10304,2011-01-01T00:00:00Z,B,856
10304,2011-01-01T00:00:00Z,C,136
10305,2011-01-01T00:00:00Z,A,74
10305,2011-01-01T00:00:00Z,B,185
10305,2011-01-01T00:00:00Z,C,36
10306,2011-01-01T00:00:00Z,A,27
10306,2011-01-01T00:00:00Z,B,197
10306,2011-01-01T00:00:00Z,C,9
10307,2011-01-01T00:00:00Z,A,11
10307,2011-01-01T00:00:00Z,B,35
10308,2011-01-01T00:00:00Z,A,2
10308,2011-01-01T00:00:00Z,B,24
10308,2011-01-01T00:00:00Z,C,1
10309,2011-01-01T00:00:00Z,A,5
10309,2011-01-01T00:00:00Z,B,38
10309,2011-01-01T00:00:00Z,C,2
10310,2011-01-01T00:00:00Z,A,62
10310,2011-01-01T00:00:00Z,B,440
10310,2011-01-01T00:00:00Z,C,68
10312,2011-01-01T00:00:00Z,A,6
10312,2011-01-01T00:00:00Z,B,33
10312,2011-01-01T00:00:00Z,C,4
10314,2011-01-01T00:00:00Z,A,30
10314,2011-01-01T00:00:00Z,B,205
10314,2011-01-01T00:00:00Z,C,20
10451,2011-01-01T00:00:00Z,A,408
10451,2011-01-01T00:00:00Z,B,1080
10451,2011-01-01T00:00:00Z,C,232
10452,2011-01-01T00:00:00Z,A,1182
10452,2011-01-01T00:00:00Z,B,2794
10452,2011-01-01T00:00:00Z,C,506
10453,2011-01-01T00:00:00Z,A,1231
10453,2011-01-01T00:00:00Z,B,3262
10453,2011-01-01T00:00:00Z,C,555
10454,2011-01-01T00:00:00Z,A,215
10454,2011-01-01T00:00:00Z,B,686
10454,2011-01-01T00:00:00Z,C,124
10455,2011-01-01T00:00:00Z,A,319
10455,2011-01-01T00:00:00Z,B,1009
10455,2011-01-01T00:00:00Z,C,200
10456,2011-01-01T00:00:00Z,A,915
10456,2011-01-01T00:00:00Z,B,2635
10456,2011-01-01T00:00:00Z,C,623
10457,2011-01-01T00:00:00Z,A,1032
10457,2011-01-01T00:00:00Z,B,3048
10457,2011-01-01T00:00:00Z,C,619
10458,2011-01-01T00:00:00Z,A,1059
10458,2011-01-01T00:00:00Z,B,3053
10458,2011-01-01T00:00:00Z,C,721
10459,2011-01-01T00:00:00Z,A,438
10459,2011-01-01T00:00:00Z,B,1436
10459,2011-01-01T00:00:00Z,C,401
10460,2011-01-01T00:00:00Z,A,681
10460,2011-01-01T00:00:00Z,B,2409
10460,2011-01-01T00:00:00Z,C,538
10461,2011-01-01T00:00:00Z,A,192
10461,2011-01-01T00:00:00Z,B,463
10461,2011-01-01T00:00:00Z,C,84
10462,2011-01-01T00:00:00Z,A,363
10462,2011-01-01T00:00:00Z,B,1249
10462,2011-01-01T00:00:00Z,C,181
10463,2011-01-01T00:00:00Z,A,514
10463,2011-01-01T00:00:00Z,B,1183
10463,2011-01-01T00:00:00Z,C,285
10464,2011-01-01T00:00:00Z,A,7
10464,2011-01-01T00:00:00Z,B,18
10464,2011-01-01T00:00:00Z,C,2
10465,2011-01-01T00:00:00Z,A,35
10465,2011-01-01T00:00:00Z,B,157
10465,2011-01-01T00:00:00Z,C,30
10466,2011-01-01T00:00:00Z,A,412
10466,2011-01-01T00:00:00Z,B,1296
10466,2011-01-01T00:00:00Z,C,313
10467,2011-01-01T00:00:00Z,A,1186
10467,2011-01-01T00:00:00Z,B,3421
10467,2011-01-01T00:00:00Z,C,600
10468,2011-01-01T00:00:00Z,A,897
10468,2011-01-01T00:00:00Z,B,2486
10468,2011-01-01T00:00:00Z,C,539
10469,2011-01-01T00:00:00Z,A,227
10469,2011-01-01T00:00:00Z,B,882
10469,2011-01-01T00:00:00Z,C,162
10470,2011-01-01T00:00:00Z,A,119
10470,2011-01-01T00:00:00Z,B,322
10470,2011-01-01T00:00:00Z,C,71
10471,2011-01-01T00:00:00Z,A,29
10471,2011-01-01T00:00:00Z,B,73
10471,2011-01-01T00:00:00Z,C,7
10472,2011-01-01T00:00:00Z,A,723
10472,2011-01-01T00:00:00Z,B,2116
10472,2011-01-01T00:00:00Z,C,430
10473,2011-01-01T00:00:00Z,A,135
10473,2011-01-01T00:00:00Z,B,481
10473,2011-01-01T00:00:00Z,C,66
10474,2011-01-01T00:00:00Z,A,146
10474,2011-01-01T00:00:00Z,B,456
10474,2011-01-01T00:00:00Z,C,98
10475,2011-01-01T00:00:00Z,A,46
10475,2011-01-01T00:00:00Z,B,110
10475,2011-01-01T00:00:00Z,C,5
11001,2011-01-01T00:00:00Z,B,1
11004,2011-01-01T00:00:00Z,B,12
11040,2011-01-01T00:00:00Z,B,2
11101,2011-01-01T00:00:00Z,A,67
11101,2011-01-01T00:00:00Z,B,253
11101,2011-01-01T00:00:00Z,C,42
11102,2011-01-01T00:00:00Z,A,67
11102,2011-01-01T00:00:00Z,B,254
11102,2011-01-01T00:00:00Z,C,29
11103,2011-01-01T00:00:00Z,A,66
11103,2011-01-01T00:00:00Z,B,273
11103,2011-01-01T00:00:00Z,C,48
11104,2011-01-01T00:00:00Z,A,89
11104,2011-01-01T00:00:00Z,B,407
11104,2011-01-01T00:00:00Z,C,55
11105,2011-01-01T00:00:00Z,A,65
11105,2011-01-01T00:00:00Z,B,290
11105,2011-01-01T00:00:00Z,C,51
11106,2011-01-01T00:00:00Z,A,60
11106,2011-01-01T00:00:00Z,B,349
11106,2011-01-01T00:00:00Z,C,38
11109,2011-01-01T00:00:00Z,B,4
11201,2011-01-01T00:00:00Z,A,42
11201,2011-01-01T00:00:00Z,B,168
11201,2011-01-01T00:00:00Z,C,23
11203,2011-01-01T00:00:00Z,A,483
11203,2011-01-01T00:00:00Z,B,2040
11203,2011-01-01T00:00:00Z,C,447
11204,2011-01-01T00:00:00Z,A,221
11204,2011-01-01T00:00:00Z,B,533
11204,2011-01-01T00:00:00Z,C,106
11205,2011-01-01T00:00:00Z,A,122
11205,2011-01-01T00:00:00Z,B,332
11205,2011-01-01T00:00:00Z,C,119
11206,2011-01-01T00:00:00Z,A,321
11206,2011-01-01T00:00:00Z,B,1060
11206,2011-01-01T00:00:00Z,C,272
11207,2011-01-01T00:00:00Z,A,757
11207,2011-01-01T00:00:00Z,B,3665
11207,2011-01-01T00:00:00Z,C,926
11208,2011-01-01T00:00:00Z,A,551
11208,2011-01-01T00:00:00Z,B,2629
11208,2011-01-01T00:00:00Z,C,769
11209,2011-01-01T00:00:00Z,A,251
11209,2011-01-01T00:00:00Z,B,685
11209,2011-01-01T00:00:00Z,C,117
11210,2011-01-01T00:00:00Z,A,249
11210,2011-01-01T00:00:00Z,B,1154
11210,2011-01-01T00:00:00Z,C,282
11211,2011-01-01T00:00:00Z,A,252
11211,2011-01-01T00:00:00Z,B,782
11211,2011-01-01T00:00:00Z,C,142
11212,2011-01-01T00:00:00Z,A,657
11212,2011-01-01T00:00:00Z,B,2607
11212,2011-01-01T00:00:00Z,C,635
11213,2011-01-01T00:00:00Z,A,815
11213,2011-01-01T00:00:00Z,B,3000
11213,2011-01-01T00:00:00Z,C,608
11214,2011-01-01T00:00:00Z,A,267
11214,2011-01-01T00:00:00Z,B,718
11214,2011-01-01T00:00:00Z,C,135
11215,2011-01-01T00:00:00Z,A,194
11215,2011-01-01T00:00:00Z,B,616
11215,2011-01-01T00:00:00Z,C,111
11216,2011-01-01T00:00:00Z,A,791
11216,2011-01-01T00:00:00Z,B,2959
11216,2011-01-01T00:00:00Z,C,693
11217,2011-01-01T00:00:00Z,A,95
11217,2011-01-01T00:00:00Z,B,303
11217,2011-01-01T00:00:00Z,C,51
11218,2011-01-01T00:00:00Z,A,372
11218,2011-01-01T00:00:00Z,B,1065
11218,2011-01-01T00:00:00Z,C,251
11219,2011-01-01T00:00:00Z,A,260
11219,2011-01-01T00:00:00Z,B,751
11219,2011-01-01T00:00:00Z,C,176
11220,2011-01-01T00:00:00Z,A,345
11220,2011-01-01T00:00:00Z,B,1090
11220,2011-01-01T00:00:00Z,C,265
11221,2011-01-01T00:00:00Z,A,912
11221,2011-01-01T00:00:00Z,B,3472
11221,2011-01-01T00:00:00Z,C,1040
11222,2011-01-01T00:00:00Z,A,209
11222,2011-01-01T00:00:00Z,B,487
11222,2011-01-01T00:00:00Z,C,82
11223,2011-01-01T00:00:00Z,A,133
11223,2011-01-01T00:00:00Z,B,551
11223,2011-01-01T00:00:00Z,C,85
11224,2011-01-01T00:00:00Z,A,85
11224,2011-01-01T00:00:00Z,B,343
11224,2011-01-01T00:00:00Z,C,99
11225,2011-01-01T00:00:00Z,A,573
11225,2011-01-01T00:00:00Z,B,2237
11225,2011-01-01T00:00:00Z,C,484
11226,2011-01-01T00:00:00Z,A,1112
11226,2011-01-01T00:00:00Z,B,4284
11226,2011-01-01T00:00:00Z,C,827
11228,2011-01-01T00:00:00Z,A,32
11228,2011-01-01T00:00:00Z,B,96
11228,2011-01-01T00:00:00Z,C,18
11229,2011-01-01T00:00:00Z,A,135
11229,2011-01-01T00:00:00Z,B,747
11229,2011-01-01T00:00:00Z,C,119
11230,2011-01-01T00:00:00Z,A,505
11230,2011-01-01T00:00:00Z,B,1497
11230,2011-01-01T00:00:00Z,C,226
11231,2011-01-01T00:00:00Z,A,56
11231,2011-01-01T00:00:00Z,B,177
11231,2011-01-01T00:00:00Z,C,35
11232,2011-01-01T00:00:00Z,A,116
11232,2011-01-01T00:00:00Z,B,324
11232,2011-01-01T00:00:00Z,C,119
11233,2011-01-01T00:00:00Z,A,892
11233,2011-01-01T00:00:00Z,B,3740
11233,2011-01-01T00:00:00Z,C,920
11234,2011-01-01T00:00:00Z,A,73
11234,2011-01-01T00:00:00Z,B,395
11234,2011-01-01T00:00:00Z,C,101
11235,2011-01-01T00:00:00Z,A,243
11235,2011-01-01T00:00:00Z,B,1098
11235,2011-01-01T00:00:00Z,C,207
11236,2011-01-01T00:00:00Z,A,117
11236,2011-01-01T00:00:00Z,B,987
11236,2011-01-01T00:00:00Z,C,214
11237,2011-01-01T00:00:00Z,A,506
11237,2011-01-01T00:00:00Z,B,1868
11237,2011-01-01T00:00:00Z,C,417
11238,2011-01-01T00:00:00Z,A,382
11238,2011-01-01T00:00:00Z,B,1326
11238,2011-01-01T00:00:00Z,C,278
11239,2011-01-01T00:00:00Z,A,10
11239,2011-01-01T00:00:00Z,B,22
11239,2011-01-01T00:00:00Z,C,2
11249,2011-01-01T00:00:00Z,A,48
11249,2011-01-01T00:00:00Z,B,131
11249,2011-01-01T00:00:00Z,C,45
11354,2011-01-01T00:00:00Z,A,46
11354,2011-01-01T00:00:00Z,B,225
11354,2011-01-01T00:00:00Z,C,24
11355,2011-01-01T00:00:00Z,A,87
11355,2011-01-01T00:00:00Z,B,374
11355,2011-01-01T00:00:00Z,C,58
11356,2011-01-01T00:00:00Z,A,23
11356,2011-01-01T00:00:00Z,B,73
11356,2011-01-01T00:00:00Z,C,17
11357,2011-01-01T00:00:00Z,A,5
11357,2011-01-01T00:00:00Z,B,26
11357,2011-01-01T00:00:00Z,C,4
11358,2011-01-01T00:00:00Z,A,12
11358,2011-01-01T00:00:00Z,B,130
11358,2011-01-01T00:00:00Z,C,16
11360,2011-01-01T00:00:00Z,A,3
11360,2011-01-01T00:00:00Z,B,45
11360,2011-01-01T00:00:00Z,C,5
11361,2011-01-01T00:00:00Z,A,13
11361,2011-01-01T00:00:00Z,B,114
11361,2011-01-01T00:00:00Z,C,13
11362,2011-01-01T00:00:00Z,A,3
11362,2011-01-01T00:00:00Z,B,22
11362,2011-01-01T00:00:00Z,C,1
11363,2011-01-01T00:00:00Z,A,2
11363,2011-01-01T00:00:00Z,B,24
11364,2011-01-01T00:00:00Z,A,7
11364,2011-01-01T00:00:00Z,B,42
11364,2011-01-01T00:00:00Z,C,3
11365,2011-01-01T00:00:00Z,A,11
11365,2011-01-01T00:00:00Z,B,42
11365,2011-01-01T00:00:00Z,C,11
11366,2011-01-01T00:00:00Z,A,4
11366,2011-01-01T00:00:00Z,B,15
11367,2011-01-01T00:00:00Z,A,80
11367,2011-01-01T00:00:00Z,B,311
11367,2011-01-01T00:00:00Z,C,33
11368,2011-01-01T00:00:00Z,A,223
11368,2011-01-01T00:00:00Z,B,768
11368,2011-01-01T00:00:00Z,C,121
11369,2011-01-01T00:00:00Z,A,97
11369,2011-01-01T00:00:00Z,B,337
11369,2011-01-01T00:00:00Z,C,86
11370,2011-01-01T00:00:00Z,A,21
11370,2011-01-01T00:00:00Z,B,110
11370,2011-01-01T00:00:00Z,C,30
11372,2011-01-01T00:00:00Z,A,154
11372,2011-01-01T00:00:00Z,B,613
11372,2011-01-01T00:00:00Z,C,118
11373,2011-01-01T00:00:00Z,A,168
11373,2011-01-01T00:00:00Z,B,762
