zip_code,year,dob_calls_311
10000,2020 ,2
10000,2021 ,1
10000,2022 ,6
10000,2023 ,1
10001,2011 ,475
10001,2012 ,554
10001,2013 ,654
10001,2014 ,674
10001,2015 ,875
10001,2016 ,987
10001,2017 ,1004
10001,2018 ,1041
10001,2019 ,850
10001,2020 ,640
10001,2021 ,433
10001,2022 ,342
10001,2023 ,221
10002,2011 ,738
10002,2012 ,786
10002,2013 ,779
10002,2014 ,783
10002,2015 ,1071
10002,2016 ,1049
10002,2017 ,939
10002,2018 ,1044
10002,2019 ,885
10002,2020 ,659
10002,2021 ,571
10002,2022 ,501
10002,2023 ,298
10003,2011 ,731
10003,2012 ,811
10003,2013 ,750
10003,2014 ,760
10003,2015 ,1020
10003,2016 ,858
10003,2017 ,875
10003,2018 ,905
10003,2019 ,985
10003,2020 ,667
10003,2021 ,770
10003,2022 ,709
10003,2023 ,389
10004,2011 ,51
10004,2012 ,90
10004,2013 ,65
10004,2014 ,61
10004,2015 ,67
10004,2016 ,69
10004,2017 ,87
10004,2018 ,108
10004,2019 ,109
10004,2020 ,73
10004,2021 ,52
10004,2022 ,73
10004,2023 ,22
10005,2011 ,45
10005,2012 ,92
10005,2013 ,68
10005,2014 ,63
10005,2015 ,58
10005,2016 ,94
10005,2017 ,112
10005,2018 ,93
10005,2019 ,114
10005,2020 ,49
10005,2021 ,49
10005,2022 ,119
10005,2023 ,34
10006,2011 ,52
10006,2012 ,55
10006,2013 ,61
10006,2014 ,107
10006,2015 ,130
10006,2016 ,105
10006,2017 ,108
10006,2018 ,128
10006,2019 ,86
10006,2020 ,69
10006,2021 ,37
10006,2022 ,50
10006,2023 ,51
10007,2011 ,121
10007,2012 ,125
10007,2013 ,162
10007,2014 ,204
10007,2015 ,191
10007,2016 ,237
10007,2017 ,301
10007,2018 ,263
10007,2019 ,232
10007,2020 ,130
10007,2021 ,75
10007,2022 ,105
10007,2023 ,80
10009,2011 ,490
10009,2012 ,588
10009,2013 ,588
10009,2014 ,597
10009,2015 ,662
10009,2016 ,690
10009,2017 ,609
10009,2018 ,744
10009,2019 ,913
10009,2020 ,667
10009,2021 ,698
10009,2022 ,672
10009,2023 ,367
10010,2011 ,289
10010,2012 ,343
10010,2013 ,280
10010,2014 ,619
10010,2015 ,434
10010,2016 ,473
10010,2017 ,592
10010,2018 ,455
10010,2019 ,470
10010,2020 ,386
10010,2021 ,352
10010,2022 ,320
10010,2023 ,148
10011,2011 ,714
10011,2012 ,825
10011,2013 ,862
10011,2014 ,800
10011,2015 ,1044
10011,2016 ,934
10011,2017 ,943
10011,2018 ,996
10011,2019 ,1091
10011,2020 ,706
10011,2021 ,762
10011,2022 ,824
10011,2023 ,376
10012,2011 ,491
10012,2012 ,499
10012,2013 ,688
10012,2014 ,624
10012,2015 ,681
10012,2016 ,692
10012,2017 ,642
10012,2018 ,636
10012,2019 ,591
10012,2020 ,345
10012,2021 ,363
10012,2022 ,360
10012,2023 ,212
10013,2011 ,613
10013,2012 ,674
10013,2013 ,726
10013,2014 ,750
10013,2015 ,746
10013,2016 ,785
10013,2017 ,712
10013,2018 ,813
10013,2019 ,777
10013,2020 ,478
10013,2021 ,396
10013,2022 ,388
10013,2023 ,224
10014,2011 ,602
10014,2012 ,565
10014,2013 ,544
10014,2014 ,480
10014,2015 ,658
10014,2016 ,647
10014,2017 ,649
10014,2018 ,744
10014,2019 ,836
10014,2020 ,506
10014,2021 ,468
10014,2022 ,418
10014,2023 ,259
