zip_code,year,evictions,eviction_filings
0,2018,0,3
1000,2017,0,1
10000,2019,0,1
10001,2017,0,108
10001,2018,0,144
10001,2019,0,84
10001,2020,0,10
10001,2021,0,7
10001,2022,0,28
10001,2023,0,26
10002,2017,0,114
10002,2018,0,110
10002,2019,0,82
10002,2020,0,15
10002,2021,0,10
10002,2022,0,35
10002,2023,0,42
10003,2017,0,55
10003,2018,0,48
10003,2019,0,45
10003,2020,0,12
10003,2021,0,1
10003,2022,0,28
10003,2023,0,34
10004,2017,0,8
10004,2018,0,6
10004,2019,0,8
10004,2020,0,1
10004,2023,0,7
10005,2017,0,16
10005,2018,0,14
10005,2019,0,18
10005,2020,0,4
10005,2022,0,8
10005,2023,0,11
10006,2017,0,9
10006,2018,0,8
10006,2019,0,7
10006,2020,0,2
10006,2022,0,9
10006,2023,0,2
10007,2017,0,9
10007,2018,0,9
10007,2019,0,3
10007,2020,0,1
10007,2022,0,4
10007,2023,0,6
10009,2017,0,111
10009,2018,0,102
10009,2019,0,79
10009,2020,0,10
10009,2021,0,2
10009,2022,0,33
10009,2023,0,23
10010,2017,0,31
10010,2018,0,38
10010,2019,0,26
10010,2020,0,9
10010,2022,0,3
10010,2023,0,12
10011,2017,0,76
10011,2018,0,49
10011,2019,0,58
10011,2020,0,11
10011,2021,0,2
10011,2022,0,18
10011,2023,0,22
10012,2017,0,38
10012,2018,0,43
10012,2019,0,36
10012,2020,0,11
10012,2022,0,11
10012,2023,0,16
10013,2017,0,48
10013,2018,0,45
10013,2019,0,33
10013,2020,0,9
10013,2021,0,6
10013,2022,0,22
10013,2023,0,13
10014,2017,0,44
10014,2018,0,41
10014,2019,0,32
10014,2020,0,6
10014,2021,0,1
10014,2022,0,17
10014,2023,0,12
10016,2017,0,75
10016,2018,0,68
10016,2019,0,56
10016,2020,0,13
10016,2022,0,29
10016,2023,0,40
10017,2017,0,38
10017,2018,1,26
10017,2019,0,22
10017,2020,0,5
10017,2022,0,10
10017,2023,0,14
10018,2017,0,45
10018,2018,0,74
10018,2019,0,51
10018,2020,0,16
10018,2021,0,1
10018,2022,0,35
10018,2023,0,20
10019,2017,0,108
10019,2018,0,106
10019,2019,1,108
10019,2020,0,14
10019,2021,0,5
10019,2022,0,47
10019,2023,0,44
10020,2018,0,2
10020,2019,0,1
10021,2017,0,44
10021,2018,0,52
10021,2019,0,24
10021,2020,0,12
10021,2022,0,14
10021,2023,0,22
10022,2017,0,44
10022,2018,0,63
10022,2019,0,61
10022,2020,0,14
10022,2022,0,17
10022,2023,0,18
10023,2017,0,46
10023,2018,0,53
10023,2019,0,49
10023,2020,0,10
10023,2022,0,13
10023,2023,0,26
10024,2017,0,37
10024,2018,0,60
10024,2019,0,28
10024,2020,0,9
10024,2022,0,18
10024,2023,0,14
10025,2017,0,132
10025,2018,1,131
10025,2019,0,92
10025,2020,0,11
10025,2021,0,3
10025,2022,0,43
10025,2023,0,45
10026,2017,0,114
10026,2018,1,76
10026,2019,0,89
10026,2020,0,19
10026,2022,0,26
10026,2023,0,42
10027,2017,0,143
10027,2018,0,130
10027,2019,0,100
10027,2020,0,21
10027,2021,0,2
10027,2022,0,39
10027,2023,0,50
10028,2017,0,47
10028,2018,0,48
10028,2019,0,33
10028,2020,0,4
10028,2021,0,3
10028,2022,0,21
10028,2023,0,16
10029,2017,0,192
10029,2018,0,219
10029,2019,0,190
10029,2020,0,23
10029,2021,0,3
10029,2022,0,32
10029,2023,0,53
10030,2017,0,134
10030,2018,0,142
10030,2019,0,123
10030,2020,0,15
10030,2022,0,23
10030,2023,0,43
10031,2017,0,208
10031,2018,0,178
10031,2019,0,114
10031,2020,0,22
10031,2022,0,46
10031,2023,0,69
10032,2017,0,184
10032,2018,0,181
10032,2019,0,144
10032,2020,0,36
10032,2021,0,2
10032,2022,0,35
10032,2023,0,80
10033,2017,0,177
10033,2018,1,167
10033,2019,0,144
10033,2020,0,24
10033,2022,0,42
10033,2023,0,56
10034,2017,0,152
10034,2018,0,135
10034,2019,0,141
10034,2020,0,31
10034,2021,0,6
10034,2022,0,31
10034,2023,0,59
10035,2017,0,148
10035,2018,0,120
10035,2019,0,97
10035,2020,0,14
10035,2022,0,29
10035,2023,0,45
10036,2017,0,122
10036,2018,0,111
10036,2019,0,114
10036,2020,0,24
10036,2021,0,3
10036,2022,0,42
10036,2023,0,37
10037,2017,0,124
10037,2018,0,129
10037,2019,0,130
10037,2020,0,17
10037,2022,0,9
10037,2023,0,25
10038,2017,0,26
10038,2018,0,24
10038,2019,0,19
10038,2020,0,6
10038,2021,0,2
10038,2022,0,9
10038,2023,0,8
10039,2017,0,123
10039,2018,0,151
10039,2019,1,99
10039,2020,0,17
10039,2021,0,1
10039,2022,0,22
10039,2023,0,34
10040,2017,0,128
10040,2018,0,118
10040,2019,0,102
10040,2020,0,17
10040,2021,0,2
10040,2022,0,28
10040,2023,0,48
10044,2017,0,16
10044,2018,0,10
10044,2019,0,7
10044,2022,0,4
10044,2023,0,8
10065,2017,0,41
10065,2018,0,45
10065,2019,0,34
10065,2020,0,6
10065,2021,0,5
10065,2022,0,16
10065,2023,0,11
10069,2017,0,8
10069,2018,0,1
10069,2019,0,3
10069,2022,0,1
10069,2023,0,2
10075,2017,0,13
10075,2018,0,24
10075,2019,0,21
10075,2020,0,7
10075,2021,0,1
10075,2022,0,7
10075,2023,0,12
10101,2017,0,1
10103,2018,0,1
10107,2017,0,1
10111,2022,0,1
10112,2017,0,1
10118,2019,0,1
10123,2019,0,1
10128,2017,0,66
10128,2018,0,38
10128,2019,0,53
10128,2020,0,10
10128,2022,0,18
10128,2023,0,30
10152,2019,0,1
10155,2017,0,1
10162,2018,0,1
10162,2019,0,1
10162,2020,0,1
10165,2022,0,1
10167,2018,0,1
10168,2019,0,2
10170,2017,0,1
10170,2018,0,1
10170,2019,0,2
