zip,year,count
10002,2011-01-01T00:00:00Z,2
10009,2011-01-01T00:00:00Z,4
10011,2011-01-01T00:00:00Z,1
10024,2011-01-01T00:00:00Z,1
10025,2011-01-01T00:00:00Z,1
10026,2011-01-01T00:00:00Z,4
10027,2011-01-01T00:00:00Z,2
10030,2011-01-01T00:00:00Z,12
10033,2011-01-01T00:00:00Z,9
10034,2011-01-01T00:00:00Z,4
10035,2011-01-01T00:00:00Z,26
10039,2011-01-01T00:00:00Z,40
10302,2011-01-01T00:00:00Z,1
10451,2011-01-01T00:00:00Z,1
10452,2011-01-01T00:00:00Z,2
10453,2011-01-01T00:00:00Z,15
10455,2011-01-01T00:00:00Z,2
10456,2011-01-01T00:00:00Z,2
10457,2011-01-01T00:00:00Z,4
10459,2011-01-01T00:00:00Z,3
10460,2011-01-01T00:00:00Z,2
10461,2011-01-01T00:00:00Z,1
10463,2011-01-01T00:00:00Z,1
10465,2011-01-01T00:00:00Z,1
10468,2011-01-01T00:00:00Z,2
11101,2011-01-01T00:00:00Z,1
11203,2011-01-01T00:00:00Z,1
11205,2011-01-01T00:00:00Z,1
11207,2011-01-01T00:00:00Z,1
11212,2011-01-01T00:00:00Z,2
11213,2011-01-01T00:00:00Z,2
11215,2011-01-01T00:00:00Z,1
11217,2011-01-01T00:00:00Z,1
11218,2011-01-01T00:00:00Z,1
11221,2011-01-01T00:00:00Z,3
11224,2011-01-01T00:00:00Z,2
11225,2011-01-01T00:00:00Z,1
11229,2011-01-01T00:00:00Z,1
11238,2011-01-01T00:00:00Z,1
11239,2011-01-01T00:00:00Z,1
11365,2011-01-01T00:00:00Z,1
11367,2011-01-01T00:00:00Z,1
11377,2011-01-01T00:00:00Z,2
11420,2011-01-01T00:00:00Z,2
11433,2011-01-01T00:00:00Z,1
11434,2011-01-01T00:00:00Z,1
11435,2011-01-01T00:00:00Z,1
11436,2011-01-01T00:00:00Z,3
11693,2011-01-01T00:00:00Z,2
10001,2012-01-01T00:00:00Z,3
10002,2012-01-01T00:00:00Z,2
10009,2012-01-01T00:00:00Z,2
10011,2012-01-01T00:00:00Z,2
10014,2012-01-01T00:00:00Z,3
10016,2012-01-01T00:00:00Z,1
10022,2012-01-01T00:00:00Z,1
10024,2012-01-01T00:00:00Z,9
10025,2012-01-01T00:00:00Z,3
10026,2012-01-01T00:00:00Z,7
10027,2012-01-01T00:00:00Z,9
10028,2012-01-01T00:00:00Z,1
10029,2012-01-01T00:00:00Z,25
10030,2012-01-01T00:00:00Z,16
10031,2012-01-01T00:00:00Z,27
10032,2012-01-01T00:00:00Z,19
10033,2012-01-01T00:00:00Z,4
10034,2012-01-01T00:00:00Z,6
10035,2012-01-01T00:00:00Z,8
10037,2012-01-01T00:00:00Z,9
10039,2012-01-01T00:00:00Z,34
10040,2012-01-01T00:00:00Z,2
10128,2012-01-01T00:00:00Z,3
10303,2012-01-01T00:00:00Z,5
10304,2012-01-01T00:00:00Z,7
10305,2012-01-01T00:00:00Z,2
10452,2012-01-01T00:00:00Z,3
10453,2012-01-01T00:00:00Z,42
10454,2012-01-01T00:00:00Z,1
10455,2012-01-01T00:00:00Z,5
10456,2012-01-01T00:00:00Z,43
10457,2012-01-01T00:00:00Z,8
10458,2012-01-01T00:00:00Z,9
10460,2012-01-01T00:00:00Z,4
10461,2012-01-01T00:00:00Z,2
10463,2012-01-01T00:00:00Z,8
10466,2012-01-01T00:00:00Z,1
10467,2012-01-01T00:00:00Z,3
10468,2012-01-01T00:00:00Z,5
10469,2012-01-01T00:00:00Z,2
10472,2012-01-01T00:00:00Z,2
10474,2012-01-01T00:00:00Z,1
11101,2012-01-01T00:00:00Z,1
11102,2012-01-01T00:00:00Z,2
11203,2012-01-01T00:00:00Z,2
11205,2012-01-01T00:00:00Z,2
11206,2012-01-01T00:00:00Z,1
11207,2012-01-01T00:00:00Z,2
11208,2012-01-01T00:00:00Z,1
11209,2012-01-01T00:00:00Z,1
11212,2012-01-01T00:00:00Z,13
11213,2012-01-01T00:00:00Z,20
11214,2012-01-01T00:00:00Z,29
11216,2012-01-01T00:00:00Z,10
11218,2012-01-01T00:00:00Z,2
11220,2012-01-01T00:00:00Z,34
11221,2012-01-01T00:00:00Z,9
11222,2012-01-01T00:00:00Z,3
11223,2012-01-01T00:00:00Z,1
11224,2012-01-01T00:00:00Z,3
11225,2012-01-01T00:00:00Z,3
11226,2012-01-01T00:00:00Z,20
11230,2012-01-01T00:00:00Z,6
11233,2012-01-01T00:00:00Z,1
11235,2012-01-01T00:00:00Z,30
11236,2012-01-01T00:00:00Z,1
11237,2012-01-01T00:00:00Z,5
11238,2012-01-01T00:00:00Z,19
11355,2012-01-01T00:00:00Z,1
11367,2012-01-01T00:00:00Z,1
11372,2012-01-01T00:00:00Z,6
11373,2012-01-01T00:00:00Z,5
11374,2012-01-01T00:00:00Z,6
11375,2012-01-01T00:00:00Z,22
11377,2012-01-01T00:00:00Z,3
11412,2012-01-01T00:00:00Z,4
11432,2012-01-01T00:00:00Z,1
11691,2012-01-01T00:00:00Z,4
11692,2012-01-01T00:00:00Z,4
11693,2012-01-01T00:00:00Z,2
10001,2013-01-01T00:00:00Z,11
10002,2013-01-01T00:00:00Z,10
10003,2013-01-01T00:00:00Z,2
10009,2013-01-01T00:00:00Z,5
10010,2013-01-01T00:00:00Z,2
10011,2013-01-01T00:00:00Z,1
10012,2013-01-01T00:00:00Z,1
10013,2013-01-01T00:00:00Z,4
10014,2013-01-01T00:00:00Z,39
10016,2013-01-01T00:00:00Z,1
10022,2013-01-01T00:00:00Z,1
10023,2013-01-01T00:00:00Z,1
10024,2013-01-01T00:00:00Z,13
10025,2013-01-01T00:00:00Z,21
10026,2013-01-01T00:00:00Z,17
10027,2013-01-01T00:00:00Z,22
10029,2013-01-01T00:00:00Z,36
10030,2013-01-01T00:00:00Z,36
10031,2013-01-01T00:00:00Z,40
10032,2013-01-01T00:00:00Z,30
10033,2013-01-01T00:00:00Z,3
10034,2013-01-01T00:00:00Z,12
10035,2013-01-01T00:00:00Z,50
10036,2013-01-01T00:00:00Z,1
10037,2013-01-01T00:00:00Z,5
10038,2013-01-01T00:00:00Z,1
10039,2013-01-01T00:00:00Z,16
10040,2013-01-01T00:00:00Z,9
10128,2013-01-01T00:00:00Z,1
10303,2013-01-01T00:00:00Z,14
10304,2013-01-01T00:00:00Z,18
10451,2013-01-01T00:00:00Z,2
10452,2013-01-01T00:00:00Z,13
10453,2013-01-01T00:00:00Z,36
10455,2013-01-01T00:00:00Z,11
10456,2013-01-01T00:00:00Z,77
10457,2013-01-01T00:00:00Z,24
10458,2013-01-01T00:00:00Z,161
10459,2013-01-01T00:00:00Z,9
10460,2013-01-01T00:00:00Z,18
10463,2013-01-01T00:00:00Z,14
10466,2013-01-01T00:00:00Z,33
10467,2013-01-01T00:00:00Z,35
10468,2013-01-01T00:00:00Z,11
10469,2013-01-01T00:00:00Z,1
10474,2013-01-01T00:00:00Z,1
11101,2013-01-01T00:00:00Z,3
11102,2013-01-01T00:00:00Z,9
11103,2013-01-01T00:00:00Z,5
11104,2013-01-01T00:00:00Z,17
11105,2013-01-01T00:00:00Z,7
11106,2013-01-01T00:00:00Z,22
11201,2013-01-01T00:00:00Z,1
11203,2013-01-01T00:00:00Z,50
11206,2013-01-01T00:00:00Z,7
11207,2013-01-01T00:00:00Z,17
11208,2013-01-01T00:00:00Z,3
11209,2013-01-01T00:00:00Z,2
11210,2013-01-01T00:00:00Z,4
11211,2013-01-01T00:00:00Z,2
11212,2013-01-01T00:00:00Z,22
11213,2013-01-01T00:00:00Z,26
11214,2013-01-01T00:00:00Z,67
11216,2013-01-01T00:00:00Z,28
11217,2013-01-01T00:00:00Z,7
11218,2013-01-01T00:00:00Z,10
11220,2013-01-01T00:00:00Z,44
11221,2013-01-01T00:00:00Z,13
11222,2013-01-01T00:00:00Z,3
11223,2013-01-01T00:00:00Z,1
11224,2013-01-01T00:00:00Z,2
11225,2013-01-01T00:00:00Z,42
11226,2013-01-01T00:00:00Z,64
11228,2013-01-01T00:00:00Z,2
11229,2013-01-01T00:00:00Z,6
11230,2013-01-01T00:00:00Z,15
11231,2013-01-01T00:00:00Z,5
11232,2013-01-01T00:00:00Z,1
11233,2013-01-01T00:00:00Z,7
11234,2013-01-01T00:00:00Z,6
11235,2013-01-01T00:00:00Z,29
11236,2013-01-01T00:00:00Z,1
11237,2013-01-01T00:00:00Z,6
11238,2013-01-01T00:00:00Z,39
11249,2013-01-01T00:00:00Z,1
11354,2013-01-01T00:00:00Z,5
11355,2013-01-01T00:00:00Z,6
11356,2013-01-01T00:00:00Z,2
11357,2013-01-01T00:00:00Z,1
11358,2013-01-01T00:00:00Z,1
11362,2013-01-01T00:00:00Z,1
11365,2013-01-01T00:00:00Z,1
11366,2013-01-01T00:00:00Z,1
11367,2013-01-01T00:00:00Z,10
11368,2013-01-01T00:00:00Z,17
11370,2013-01-01T00:00:00Z,1
11372,2013-01-01T00:00:00Z,12
11373,2013-01-01T00:00:00Z,12
11374,2013-01-01T00:00:00Z,10
11375,2013-01-01T00:00:00Z,48
11377,2013-01-01T00:00:00Z,18
11378,2013-01-01T00:00:00Z,5
11379,2013-01-01T00:00:00Z,3
11385,2013-01-01T00:00:00Z,13
11412,2013-01-01T00:00:00Z,2
11413,2013-01-01T00:00:00Z,2
11414,2013-01-01T00:00:00Z,1
11416,2013-01-01T00:00:00Z,2
11417,2013-01-01T00:00:00Z,1
11418,2013-01-01T00:00:00Z,5
11419,2013-01-01T00:00:00Z,4
11420,2013-01-01T00:00:00Z,5
11421,2013-01-01T00:00:00Z,5
11423,2013-01-01T00:00:00Z,2
11426,2013-01-01T00:00:00Z,3
11427,2013-01-01T00:00:00Z,1
11428,2013-01-01T00:00:00Z,2
11429,2013-01-01T00:00:00Z,4
11432,2013-01-01T00:00:00Z,11
11433,2013-01-01T00:00:00Z,6
11434,2013-01-01T00:00:00Z,7
11435,2013-01-01T00:00:00Z,6
11436,2013-01-01T00:00:00Z,2
11691,2013-01-01T00:00:00Z,15
11692,2013-01-01T00:00:00Z,3
11693,2013-01-01T00:00:00Z,1
11694,2013-01-01T00:00:00Z,1
10001,2014-01-01T00:00:00Z,395
10002,2014-01-01T00:00:00Z,1023
10003,2014-01-01T00:00:00Z,959
10004,2014-01-01T00:00:00Z,12
10005,2014-01-01T00:00:00Z,16
10006,2014-01-01T00:00:00Z,9
10007,2014-01-01T00:00:00Z,21
10009,2014-01-01T00:00:00Z,998
10010,2014-01-01T00:00:00Z,481
10011,2014-01-01T00:00:00Z,752
10012,2014-01-01T00:00:00Z,487
10013,2014-01-01T00:00:00Z,420
10014,2014-01-01T00:00:00Z,479
10016,2014-01-01T00:00:00Z,732
10017,2014-01-01T00:00:00Z,99
10018,2014-01-01T00:00:00Z,161
10019,2014-01-01T00:00:00Z,767
10021,2014-01-01T00:00:00Z,396
10022,2014-01-01T00:00:00Z,402
10023,2014-01-01T00:00:00Z,514
10024,2014-01-01T00:00:00Z,1015
10025,2014-01-01T00:00:00Z,2038
10026,2014-01-01T00:00:00Z,1137
10027,2014-01-01T00:00:00Z,2120
10028,2014-01-01T00:00:00Z,553
10029,2014-01-01T00:00:00Z,1632
10030,2014-01-01T00:00:00Z,1587
10031,2014-01-01T00:00:00Z,3621
10032,2014-01-01T00:00:00Z,3251
10033,2014-01-01T00:00:00Z,2301
10034,2014-01-01T00:00:00Z,1905
10035,2014-01-01T00:00:00Z,1054
10036,2014-01-01T00:00:00Z,690
10037,2014-01-01T00:00:00Z,611
10038,2014-01-01T00:00:00Z,101
10039,2014-01-01T00:00:00Z,971
10040,2014-01-01T00:00:00Z,3022
10044,2014-01-01T00:00:00Z,44
10065,2014-01-01T00:00:00Z,278
10069,2014-01-01T00:00:00Z,3
10075,2014-01-01T00:00:00Z,204
10128,2014-01-01T00:00:00Z,589
10280,2014-01-01T00:00:00Z,20
10282,2014-01-01T00:00:00Z,1
10301,2014-01-01T00:00:00Z,585
10302,2014-01-01T00:00:00Z,191
10303,2014-01-01T00:00:00Z,297
10304,2014-01-01T00:00:00Z,504
10305,2014-01-01T00:00:00Z,154
10306,2014-01-01T00:00:00Z,210
10307,2014-01-01T00:00:00Z,31
10308,2014-01-01T00:00:00Z,20
10309,2014-01-01T00:00:00Z,37
10310,2014-01-01T00:00:00Z,240
10312,2014-01-01T00:00:00Z,60
10314,2014-01-01T00:00:00Z,154
10451,2014-01-01T00:00:00Z,1747
10452,2014-01-01T00:00:00Z,3372
10453,2014-01-01T00:00:00Z,4468
10454,2014-01-01T00:00:00Z,1005
10455,2014-01-01T00:00:00Z,1275
10456,2014-01-01T00:00:00Z,3858
10457,2014-01-01T00:00:00Z,3913
10458,2014-01-01T00:00:00Z,5550
10459,2014-01-01T00:00:00Z,1938
10460,2014-01-01T00:00:00Z,2478
10461,2014-01-01T00:00:00Z,1390
10462,2014-01-01T00:00:00Z,2948
10463,2014-01-01T00:00:00Z,2306
10464,2014-01-01T00:00:00Z,35
10465,2014-01-01T00:00:00Z,229
10466,2014-01-01T00:00:00Z,2318
10467,2014-01-01T00:00:00Z,5262
10468,2014-01-01T00:00:00Z,4829
10469,2014-01-01T00:00:00Z,1017
10470,2014-01-01T00:00:00Z,679
10471,2014-01-01T00:00:00Z,202
10472,2014-01-01T00:00:00Z,2504
10473,2014-01-01T00:00:00Z,809
10474,2014-01-01T00:00:00Z,577
10475,2014-01-01T00:00:00Z,121
11001,2014-01-01T00:00:00Z,7
11004,2014-01-01T00:00:00Z,16
11040,2014-01-01T00:00:00Z,3
11101,2014-01-01T00:00:00Z,345
11102,2014-01-01T00:00:00Z,538
11103,2014-01-01T00:00:00Z,692
11104,2014-01-01T00:00:00Z,612
11105,2014-01-01T00:00:00Z,524
11106,2014-01-01T00:00:00Z,487
11109,2014-01-01T00:00:00Z,2
11201,2014-01-01T00:00:00Z,369
11203,2014-01-01T00:00:00Z,2214
11204,2014-01-01T00:00:00Z,926
11205,2014-01-01T00:00:00Z,545
11206,2014-01-01T00:00:00Z,1225
11207,2014-01-01T00:00:00Z,2508
11208,2014-01-01T00:00:00Z,2217
11209,2014-01-01T00:00:00Z,1367
11210,2014-01-01T00:00:00Z,1494
11211,2014-01-01T00:00:00Z,987
11212,2014-01-01T00:00:00Z,3372
11213,2014-01-01T00:00:00Z,3418
11214,2014-01-01T00:00:00Z,1424
11215,2014-01-01T00:00:00Z,879
11216,2014-01-01T00:00:00Z,2281
11217,2014-01-01T00:00:00Z,443
11218,2014-01-01T00:00:00Z,1286
11219,2014-01-01T00:00:00Z,858
11220,2014-01-01T00:00:00Z,1355
11221,2014-01-01T00:00:00Z,2592
11222,2014-01-01T00:00:00Z,638
11223,2014-01-01T00:00:00Z,862
11224,2014-01-01T00:00:00Z,475
11225,2014-01-01T00:00:00Z,3640
11226,2014-01-01T00:00:00Z,5916
11228,2014-01-01T00:00:00Z,153
11229,2014-01-01T00:00:00Z,1003
11230,2014-01-01T00:00:00Z,1867
11231,2014-01-01T00:00:00Z,296
11232,2014-01-01T00:00:00Z,482
11233,2014-01-01T00:00:00Z,2885
11234,2014-01-01T00:00:00Z,527
11235,2014-01-01T00:00:00Z,1611
11236,2014-01-01T00:00:00Z,1103
11237,2014-01-01T00:00:00Z,1517
11238,2014-01-01T00:00:00Z,1643
11239,2014-01-01T00:00:00Z,80
11241,2014-01-01T00:00:00Z,1
11249,2014-01-01T00:00:00Z,619
11354,2014-01-01T00:00:00Z,457
11355,2014-01-01T00:00:00Z,765
11356,2014-01-01T00:00:00Z,154
11357,2014-01-01T00:00:00Z,93
11358,2014-01-01T00:00:00Z,189
11360,2014-01-01T00:00:00Z,60
11361,2014-01-01T00:00:00Z,63
11362,2014-01-01T00:00:00Z,22
11363,2014-01-01T00:00:00Z,46
11364,2014-01-01T00:00:00Z,131
11365,2014-01-01T00:00:00Z,125
11366,2014-01-01T00:00:00Z,38
11367,2014-01-01T00:00:00Z,461
11368,2014-01-01T00:00:00Z,1106
11369,2014-01-01T00:00:00Z,298
11370,2014-01-01T00:00:00Z,108
11372,2014-01-01T00:00:00Z,827
11373,2014-01-01T00:00:00Z,1206
11374,2014-01-01T00:00:00Z,962
11375,2014-01-01T00:00:00Z,891
11377,2014-01-01T00:00:00Z,1138
11378,2014-01-01T00:00:00Z,202
11379,2014-01-01T00:00:00Z,92
11385,2014-01-01T00:00:00Z,1340
11411,2014-01-01T00:00:00Z,87
11412,2014-01-01T00:00:00Z,446
11413,2014-01-01T00:00:00Z,334
11414,2014-01-01T00:00:00Z,156
11415,2014-01-01T00:00:00Z,506
11416,2014-01-01T00:00:00Z,248
11417,2014-01-01T00:00:00Z,241
11418,2014-01-01T00:00:00Z,430
11419,2014-01-01T00:00:00Z,498
11420,2014-01-01T00:00:00Z,377
11421,2014-01-01T00:00:00Z,367
11422,2014-01-01T00:00:00Z,198
11423,2014-01-01T00:00:00Z,347
11426,2014-01-01T00:00:00Z,33
11427,2014-01-01T00:00:00Z,183
11428,2014-01-01T00:00:00Z,113
11429,2014-01-01T00:00:00Z,182
11432,2014-01-01T00:00:00Z,720
11433,2014-01-01T00:00:00Z,629
11434,2014-01-01T00:00:00Z,580
11435,2014-01-01T00:00:00Z,607
11436,2014-01-01T00:00:00Z,160
11691,2014-01-01T00:00:00Z,1441
11692,2014-01-01T00:00:00Z,235
11693,2014-01-01T00:00:00Z,144
11694,2014-01-01T00:00:00Z,318
11697,2014-01-01T00:00:00Z,1
NA,2014-01-01T00:00:00Z,40
10001,2015-01-01T00:00:00Z,786
10002,2015-01-01T00:00:00Z,2598
10003,2015-01-01T00:00:00Z,2240
10004,2015-01-01T00:00:00Z,13
10005,2015-01-01T00:00:00Z,15
10006,2015-01-01T00:00:00Z,17
10007,2015-01-01T00:00:00Z,30
10009,2015-01-01T00:00:00Z,2677
10010,2015-01-01T00:00:00Z,769
10011,2015-01-01T00:00:00Z,1553
10012,2015-01-01T00:00:00Z,1168
10013,2015-01-01T00:00:00Z,888
10014,2015-01-01T00:00:00Z,1393
10016,2015-01-01T00:00:00Z,1545
10017,2015-01-01T00:00:00Z,237
10018,2015-01-01T00:00:00Z,358
10019,2015-01-01T00:00:00Z,2406
10021,2015-01-01T00:00:00Z,830
10022,2015-01-01T00:00:00Z,1121
