zip_code,permit_year,permits_alteration,permits_demolition
10001,2011,8,2
10001,2012,8,3
10001,2013,14,2
10001,2014,8,4
10001,2015,18,2
10001,2016,10,2
10001,2017,6,8
10001,2018,11,2
10001,2019,4,4
10001,2020,6,NA
10001,2021,3,NA
10001,2022,7,NA
10002,2011,12,NA
10002,2012,14,3
10002,2013,14,1
10002,2014,14,NA
10002,2015,20,21
10002,2016,14,5
10002,2017,12,1
10002,2018,14,NA
10002,2019,35,3
10002,2020,13,1
10002,2021,6,1
10002,2022,11,NA
10003,2011,24,3
10003,2012,30,2
10003,2013,19,NA
10003,2014,34,NA
10003,2015,17,3
10003,2016,21,1
10003,2017,15,6
10003,2018,26,9
10003,2019,11,2
10003,2020,6,NA
10003,2021,18,1
10003,2022,8,NA
10004,2011,3,NA
10004,2012,1,NA
10004,2013,3,NA
10004,2014,1,NA
10004,2015,1,NA
10004,2016,1,NA
10004,2018,2,NA
10004,2019,2,NA
10004,2020,NA,10
10004,2021,2,NA
10004,2022,1,NA
10005,2013,1,NA
10005,2015,2,NA
10005,2016,2,2
10005,2017,2,NA
10005,2018,2,NA
10005,2019,2,NA
10005,2021,1,NA
10005,2022,1,NA
10006,2012,1,NA
10006,2013,2,1
10006,2014,1,NA
10006,2015,1,NA
10006,2016,3,NA
10006,2017,1,NA
10006,2019,NA,1
10006,2021,2,NA
10006,2022,1,NA
10007,2012,1,NA
10007,2013,4,NA
10007,2014,4,NA
10007,2015,4,3
10007,2016,6,1
10007,2017,6,NA
10007,2018,2,1
10007,2019,4,NA
10007,2020,2,NA
10007,2022,4,NA
10009,2011,11,NA
10009,2012,12,1
10009,2013,8,1
10009,2014,11,NA
10009,2015,18,2
10009,2016,7,NA
10009,2017,7,1
10009,2018,7,1
10009,2019,7,2
10009,2020,8,2
10009,2021,10,NA
10009,2022,5,2
10010,2011,6,NA
10010,2012,7,1
10010,2013,5,2
10010,2014,7,2
10010,2015,10,5
10010,2016,11,3
10010,2017,7,NA
10010,2018,6,NA
10010,2019,5,NA
10010,2020,5,NA
10010,2021,4,NA
10010,2022,6,NA
10011,2011,27,4
