zip_code,year,nypd_calls_311
83,2013 ,80
83,2014 ,104
83,2015 ,111
83,2016 ,53
83,2017 ,4
83,2018 ,13
83,2019 ,5
83,2020 ,5
83,2021 ,5
83,2022 ,1
2026,2022 ,1
10000,2011 ,85
10000,2012 ,57
10000,2013 ,63
10000,2014 ,66
10000,2015 ,78
10000,2016 ,60
10000,2017 ,120
10000,2018 ,141
10000,2019 ,183
10000,2020 ,336
10000,2021 ,135
10000,2022 ,89
10000,2023 ,74
10001,2011 ,1565
10001,2012 ,1219
10001,2013 ,1387
10001,2014 ,1432
10001,2015 ,2235
10001,2016 ,3879
10001,2017 ,2793
10001,2018 ,2764
10001,2019 ,3498
10001,2020 ,5189
10001,2021 ,5332
10001,2022 ,5001
10001,2023 ,2600
10002,2011 ,2696
10002,2012 ,3222
10002,2013 ,3932
10002,2014 ,4580
10002,2015 ,6101
10002,2016 ,7136
10002,2017 ,7850
10002,2018 ,7044
10002,2019 ,7867
10002,2020 ,11477
10002,2021 ,14330
10002,2022 ,13716
10002,2023 ,6749
10003,2011 ,2326
10003,2012 ,2711
10003,2013 ,2907
10003,2014 ,3624
10003,2015 ,4591
10003,2016 ,5003
10003,2017 ,4766
10003,2018 ,4278
10003,2019 ,5837
10003,2020 ,7093
10003,2021 ,8537
10003,2022 ,7976
10003,2023 ,4046
10004,2011 ,181
10004,2012 ,149
10004,2013 ,232
10004,2014 ,289
10004,2015 ,465
10004,2016 ,595
10004,2017 ,745
10004,2018 ,729
10004,2019 ,1276
10004,2020 ,913
10004,2021 ,647
10004,2022 ,643
10004,2023 ,318
10005,2011 ,283
10005,2012 ,266
10005,2013 ,300
10005,2014 ,399
10005,2015 ,624
10005,2016 ,819
10005,2017 ,763
10005,2018 ,740
10005,2019 ,1193
10005,2020 ,1268
10005,2021 ,644
10005,2022 ,669
10005,2023 ,352
10006,2011 ,205
10006,2012 ,85
10006,2013 ,104
10006,2014 ,149
10006,2015 ,216
10006,2016 ,392
10006,2017 ,297
10006,2018 ,393
10006,2019 ,564
10006,2020 ,441
10006,2021 ,364
10006,2022 ,386
10006,2023 ,321
10007,2011 ,271
10007,2012 ,258
10007,2013 ,316
10007,2014 ,413
10007,2015 ,771
10007,2016 ,1274
10007,2017 ,1532
10007,2018 ,1192
10007,2019 ,1942
10007,2020 ,1389
10007,2021 ,1035
10007,2022 ,1303
10007,2023 ,928
10009,2011 ,2719
10009,2012 ,3204
10009,2013 ,4047
10009,2014 ,4475
10009,2015 ,5059
10009,2016 ,6068
10009,2017 ,6095
10009,2018 ,5770
10009,2019 ,6763
10009,2020 ,11025
10009,2021 ,11290
10009,2022 ,10698
10009,2023 ,4689
10010,2011 ,918
10010,2012 ,798
10010,2013 ,1041
10010,2014 ,1400
10010,2015 ,1640
10010,2016 ,1686
10010,2017 ,2025
10010,2018 ,1967
10010,2019 ,2370
10010,2020 ,3218
10010,2021 ,2727
10010,2022 ,2661
